dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_mythical,is_paradox,is_ultra_beast,is_special,category,generation,has_bug,has_dark,has_dragon,has_electric,has_fairy,has_fighting,has_fire,has_flying,has_ghost,has_grass,has_ground,has_ice,has_normal,has_poison,has_psychic,has_rock,has_steel,has_water,is_dual_type,idx1,idx2,def_type,defense_score,eff_atk,eff_def,eff_spd,eff_atk_s,eff_def_s,eff_spd_s,bst_score,offensive_rating,defensive_rating,total_rating,tier,role
28,SandslashAlolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,1.2,55,38.2,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6,17,Ice/Steel,61.53846153846154,100,6623.820649745885,0.3701923076923077,0.46296296296296297,0.10390306901562173,0.2467948717948718,16.29333600183721,36.72872022789676,40.02632589752837,38.37752306271257,D,Balanced
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1.3,60,35.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,9,Poison/Ground,46.15384615384615,92,7739.476726497729,0.38076923076923075,0.42592592592592593,0.12140355649408202,0.25384615384615383,17.02229932753364,36.62080613658361,36.337694085101006,36.47925011084231,D,Balanced
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1.4,62,31.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,9,Poison/Ground,46.15384615384615,102,6155.467082196119,0.43108974358974356,0.4722222222222222,0.09655634638739011,0.28739316239316237,15.574430642031121,37.21787128445803,34.57127013481566,35.894570709636845,D,Balanced
36,Clefable,Fairy,NA,483,95,70,73,95,90,60,1.3,40,23.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,18,NA,Fairy,50,95,7700.275969080589,0.36538461538461536,0.4398148148148148,0.12078864265224452,0.24358974358974358,14.588206027087718,34.35353617359948,35.12602233963048,34.73977925661498,F,Balanced
38,Ninetales,Fire,NA,505,73,76,75,81,100,100,1.1,19.9,16.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,NA,Fire,50,94.2,6321.985447626402,0.5705128205128205,0.4361111111111111,0.09916839917845337,0.3803418803418803,18.831332852987273,41.637881709596456,38.828041099936826,40.23296140476664,D,Balanced
38,NinetalesAlolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1.1,19.9,16.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,18,Ice/Fairy,23.076923076923077,81,6321.985447626402,0.6541666666666667,0.375,0.09916839917845337,0.4361111111111111,18.2048443050568,40.51652136679419,29.757962808416604,35.137242087605394,D,Offensive
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,12,12,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,18,Normal/Fairy,46.15384615384615,85,6640.783086353596,0.35096153846153844,0.39351851851851855,0.10416914645260543,0.23397435897435895,8.73610144390538,26.782056493561182,27.44342591603287,27.112741204797025,F,Balanced
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1.2,18.6,12.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,8,Grass/Poison,38.46153846153847,110,6559.820881700964,0.3557692307692308,0.5092592592592593,0.1028991510855053,0.2371794871794872,14.17374775096818,35.76122812756668,31.237344471037403,33.49928629930204,F,Balanced
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,29.5,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,5,Grass/Bug,7.6923076923076925,95,4800,0.33653846153846156,0.4398148148148148,0.07529411764705882,0.22435897435897437,6.860190799016035,25.89101533395822,13.613830819126644,19.75242307654243,F,Offensive
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1.5,12.5,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,12,8,Poison/Bug,38.46153846153847,90,4695.742752749558,0.4775641025641026,0.4166666666666667,0.07365870984705189,0.3183760683760684,10.955400749568835,31.53837864967679,26.76167132435962,29.150024987018206,F,Balanced
51,Dugtrio,Ground,NA,425,35,100,50,50,70,120,0.7,33.3,68,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,9,NA,Ground,33.33333333333333,100,2070.6279240848658,0.7564102564102564,0.46296296296296297,0.03248043802486064,0.5042735042735043,9.803400525294869,35.98973614489702,23.3607088156693,29.67522248028316,F,Offensive
51,DugtrioAlolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,0.7,66.6,135.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,17,Ground/Steel,76.92307692307693,100,2268.259244442751,0.6634615384615384,0.46296296296296297,0.03558053716772943,0.4423076923076923,9.803400525294869,34.52115725257475,36.51203427202123,35.516595762297996,D,Balanced
53,PersianAlolan Persian,Dark,NA,440,65,60,60,75,65,115,1.1,33,27.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,16,NA,Dark,33.33333333333333,75,4059.248698958959,0.7099358974358975,0.3472222222222222,0.06367448939543464,0.47329059829059833,10.36900403271384,32.52669199472748,23.980525111537602,28.25360855313254,F,Balanced
53,Persian,Normal,NA,440,65,70,60,65,65,115,1,32,32,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,1,NA,Normal,33.33333333333333,81,4059.248698958959,0.7099358974358975,0.375,0.06367448939543464,0.47329059829059833,11.075127795024407,34.066149090371376,24.85331554051484,29.459732315443105,F,Balanced
55,Golduck,Water,NA,500,80,82,78,95,80,85,1.7,76.6,26.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,3,NA,Water,41.66666666666667,95,6319.4936506020795,0.43108974358974356,0.4398148148148148,0.09912931216630713,0.28739316239316237,15.29008500923004,35.976741224108224,32.8080773901103,34.39240930710926,F,Balanced
59,ArcanineHisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,2,168,42,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,13,Fire/Rock,38.46153846153847,115,7600,0.4775641025641026,0.5324074074074074,0.1192156862745098,0.3183760683760684,21.49719381374998,45.8257357946449,39.0912762672442,42.45850603094455,D,Balanced
59,Arcanine,Fire,NA,555,90,110,80,100,80,95,1.9,155,42.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,NA,Fire,50,126,7200,0.5240384615384616,0.5833333333333334,0.11294117647058824,0.3493589743589744,23.124209315372365,49.68647175881128,44.33479755066648,47.01063465473888,C,Balanced
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1.3,54,32,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,7,Water/Fighting,46.15384615384615,95,8321.95890400812,0.375,0.4398148148148148,0.13054053182757833,0.25,18.50280618625002,38.480493821659934,38.12082168515463,38.30065775340728,D,Balanced
65,Alakazam,Psychic,NA,500,55,50,45,135,95,120,1.5,48,21.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,11,NA,Psychic,16.666666666666664,135,3596.0916284210557,0.7564102564102564,0.625,0.056409280445820484,0.5042735042735043,20,51.19101978523903,30.10382273069969,40.647421257969356,D,Offensive
65,AlakazamMega Alakazam,Psychic,NA,600,55,50,65,175,105,150,1.2,48,33.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,11,NA,Psychic,16.666666666666664,175,4543.745701511034,1.0352564102564104,0.8101851851851852,0.07127444237664367,0.6901709401709403,32.70297904774574,74.00028382166373,44.2746767758963,59.13748029878002,B,Offensive
68,Machamp,Fighting,NA,505,90,130,80,65,85,55,1.6,130,50.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,7,NA,Fighting,25,130,7421.59012611179,0.3605769230769231,0.6018518518518519,0.11641710001743984,0.2403846153846154,18.50280618625002,43.02609511114098,32.407927697779684,37.71701140446034,D,Offensive
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1.7,15.5,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,8,Grass/Poison,38.46153846153847,123,5396.295025292817,0.375,0.5694444444444444,0.08464776510263242,0.25,13.900421512290222,37.49164143623935,30.88709607988161,34.18936875806048,F,Balanced
71,VictreebelMega Victreebel,Grass,Poison,590,80,125,85,135,95,70,4.5,125.5,6.2,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,8,Grass/Poison,38.46153846153847,156,7188.880302244571,0.375,0.7222222222222222,0.11276674983913053,0.25,25.272496709444066,53.61576387514552,43.850693577378074,48.7332287262618,C,Balanced
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1.6,55,21.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,8,Water/Poison,69.23076923076923,80,7065.408693062277,0.5705128205128205,0.37037037037037035,0.11082994028332983,0.3803418803418803,19.25035136485859,40.15464724587481,44.90172292311149,42.52818508449315,D,Balanced
76,GolemAlolan Golem,Rock,Electric,495,80,120,130,55,65,45,1.7,316,109.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,13,4,Electric/Rock,30.76923076923077,120,7353.9105243400945,0.35096153846153844,0.5555555555555556,0.11535545920533481,0.23397435897435895,18.50280618625002,41.476990223533306,33.83543977128062,37.65621499740696,D,Balanced
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1.4,300,153.1,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,13,9,Ground/Rock,15.384615384615385,120,7353.9105243400945,0.35096153846153844,0.5555555555555556,0.11535545920533481,0.23397435897435895,18.50280618625002,41.476990223533306,29.220055155896006,35.348522689714656,D,Offensive
78,RapidashGalarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1.7,80,27.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,11,18,Psychic/Fairy,30.76923076923077,100,4864.154602806124,0.6169871794871794,0.46296296296296297,0.07630046435774313,0.41132478632478625,15.574430642031121,39.79291718886134,29.414188795163966,34.60355299201265,F,Offensive
78,Rapidash,Fire,NA,500,65,100,70,80,80,105,1.7,95,32.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,NA,Fire,50,100,4864.154602806124,0.6169871794871794,0.46296296296296297,0.07630046435774313,0.41132478632478625,15.574430642031121,39.79291718886134,35.18341956439474,37.48816837662804,D,Balanced
80,SlowbroGalarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,1.6,70.5,27.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,8,11,Poison/Psychic,38.46153846153847,120,7747.015554392543,0.33653846153846156,0.5555555555555556,0.12152181261792225,0.22435897435897437,14.17374775096818,36.954160677957766,31.96206612559319,34.45811340177548,F,Balanced
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,2,120,30,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,11,Water/Psychic,38.46153846153847,130,11400,0.33653846153846156,0.6018518518518519,0.17882352941176471,0.22435897435897437,29.044599250431165,53.5577113670727,48.48593660588617,51.02182398647943,C,Balanced
