dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation,is_dual_type,idx1,idx2,def_type,defensive_score,eff_atk,eff_def,eff_spd,eff_atk_s,eff_def_s,eff_spd_s,bst_score,offensive_rating,defensive_rating,tier,role
18,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,2.2,50.5,10.4,FALSE,FALSE,Regular,Gen 1,TRUE,1,10,Normal/Flying,30.65,135,6640,0.7657051282051281,0.625,0.2867212229732922,0.5104700854700854,27.036061109037625,59.75767049815943,46.86237046039664,A,Offensive
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1.5,39.5,17.6,FALSE,FALSE,Regular,Gen 1,TRUE,1,10,Normal/Flying,30.65,80,6013.921349668617,0.5798076923076924,0.37037037037037035,0.25968657895213526,0.38653846153846155,14.036779030217067,35.982932691964066,31.686479147290534,C,Balanced
20,Raticate,Normal,NA,413,55,81,60,50,70,97,0.7,18.5,37.8,FALSE,FALSE,Regular,Gen 1,FALSE,1,NA,Normal,24.3,81,3564.407384124323,0.5426282051282051,0.375,0.15391434402878906,0.36175213675213674,8.532989112634418,29.388526458858436,21.766933369325358,F,Offensive
20,Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,0.7,25.5,52,FALSE,FALSE,Regular,Gen 1,TRUE,16,1,Normal/Dark,23.05,71,5612.486080160912,0.38173076923076926,0.3287037037037037,0.24235223988318008,0.2544871794871795,9.583079920450759,27.00599677855326,24.286755899869306,F,Balanced
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1.2,38,26.4,FALSE,FALSE,Regular,Gen 1,TRUE,1,10,Normal/Flying,30.65,90,4092.935987772103,0.5705128205128205,0.4166666666666667,0.17673668854900862,0.3803418803418803,10.484635952334607,33.17326121183379,26.421316477510814,C,Offensive
24,Arbok,Poison,NA,448,60,95,69,65,79,80,3.5,65,5.3,FALSE,FALSE,Regular,Gen 1,FALSE,8,NA,Poison,34.849999999999994,95,4429.853270707733,0.38461538461538464,0.4398148148148148,0.19128508243517467,0.25641025641025644,10.71837992633473,31.21438101923638,28.40311079366781,C,Balanced
25,Pikachu,Electric,NA,320,35,55,40,50,50,90,0.4,6,37.5,FALSE,FALSE,Regular,Gen 1,FALSE,4,NA,Electric,30.400000000000006,63,1565.247584249853,0.4775641025641026,0.2916666666666667,0.06758881048375137,0.3183760683760684,2.8174692357126827,19.614027739640832,15.309600687322718,F,Offensive
25,Partner Pikachu,Electric,NA,430,45,80,50,75,60,120,0.4,6,37.5,FALSE,FALSE,Regular,Gen 1,FALSE,4,NA,Electric,30.400000000000006,93,2464.7515087732477,0.7564102564102564,0.4305555555555556,0.10643020586155615,0.5042735042735043,9.047257029221848,34.70506903362195,23.304915303232534,F,Offensive
26,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,0.7,21,42.9,FALSE,FALSE,Regular,Gen 1,TRUE,4,11,Electric/Psychic,30.85,95,3911.521443121589,0.6634615384615384,0.4398148148148148,0.16890304395452996,0.4423076923076923,12.832852032984281,37.65609935654052,28.78041397678189,C,Offensive
26,Raichu,Electric,NA,485,60,90,55,90,80,110,0.8,30,46.9,FALSE,FALSE,Regular,Gen 1,FALSE,4,NA,Electric,30.400000000000006,108,3979.9497484264803,0.6634615384615384,0.5,0.17185784024715167,0.4423076923076923,14.588206027087718,41.234737683955245,30.83279419301936,C,Offensive
28,Sandslash,Ground,NA,450,75,100,110,45,55,65,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1,FALSE,9,NA,Ground,26.850000000000005,100,5833.630944789017,0.3701923076923077,0.46296296296296297,0.25190147573264293,0.2467948717948718,13.4951265131967,34.818501179558375,30.373539708557914,C,Balanced
28,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,1.2,55,38.2,FALSE,FALSE,Regular,Gen 1,TRUE,6,17,Ice/Steel,37.4,100,6623.820649745885,0.3701923076923077,0.46296296296296297,0.2860225839534469,0.2467948717948718,16.29333600183721,37.8214373175237,37.15565579449772,B,Balanced
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1.3,60,35.5,FALSE,FALSE,Regular,Gen 1,TRUE,8,9,Poison/Ground,34.150000000000006,92,7739.476726497729,0.38076923076923075,0.42592592592592593,0.3341976253305363,0.25384615384615383,17.02229932753364,37.89757054960233,37.84359789102207,B,Balanced
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1.4,62,31.6,FALSE,FALSE,Regular,Gen 1,TRUE,8,9,Poison/Ground,34.150000000000006,102,6155.467082196119,0.43108974358974356,0.4722222222222222,0.2657986520751678,0.28739316239316237,15.574430642031121,38.23332511858469,35.03193162516848,B,Balanced
36,Clefable,Fairy,NA,483,95,70,73,95,90,60,1.3,40,23.7,FALSE,FALSE,Regular,Gen 1,FALSE,18,NA,Fairy,32.05,95,7700.275969080589,0.36538461538461536,0.4398148148148148,0.332504901067265,0.24358974358974358,14.588206027087718,35.6238337240896,34.82221254159097,C,Balanced
38,Ninetales,Fire,NA,505,73,76,75,81,100,100,1.1,19.9,16.4,FALSE,FALSE,Regular,Gen 1,FALSE,2,NA,Fire,36.05,94.2,6321.985447626402,0.5705128205128205,0.4361111111111111,0.27298906613897567,0.3803418803418803,18.831332852987273,42.68080571135959,38.814737106989355,B,Balanced
38,Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1.1,19.9,16.4,FALSE,FALSE,Regular,Gen 1,TRUE,6,18,Ice/Fairy,23.750000000000004,81,6321.985447626402,0.6541666666666667,0.375,0.27298906613897567,0.4361111111111111,18.2048443050568,41.55944536855732,34.13158189239222,C,Offensive
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,12,12,FALSE,FALSE,Regular,Gen 1,TRUE,1,18,Normal/Fairy,32.550000000000004,85,6640.783086353596,0.35096153846153844,0.39351851851851855,0.286755037352358,0.23397435897435895,8.73610144390538,27.8775718389597,27.744333451473086,C,Balanced
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1.2,18.6,12.9,FALSE,FALSE,Regular,Gen 1,TRUE,5,8,Grass/Poison,30.35000000000001,110,6559.820881700964,0.3557692307692308,0.5092592592592593,0.283259015916723,0.2371794871794872,14.17374775096818,36.843387316553994,33.13251968852509,C,Balanced
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,29.5,29.5,FALSE,FALSE,Regular,Gen 1,TRUE,12,5,Grass/Bug,17.450000000000003,95,4800,0.33653846153846156,0.4398148148148148,0.2072683539565968,0.22435897435897437,6.860190799016035,26.682860751815447,19.708520182863246,F,Offensive
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1.5,12.5,5.6,FALSE,FALSE,Regular,Gen 1,TRUE,12,8,Poison/Bug,29.85000000000001,90,4695.742752749558,0.4775641025641026,0.4166666666666667,0.2027664314512541,0.3183760683760684,10.955400749568835,32.313024979302,27.276795104398936,C,Offensive
51,Dugtrio,Ground,NA,425,35,100,50,50,70,120,0.7,33.3,68,FALSE,FALSE,Regular,Gen 1,FALSE,9,NA,Ground,26.850000000000005,100,2070.6279240848658,0.7564102564102564,0.46296296296296297,0.08941159197534067,0.5042735042735043,9.803400525294869,36.33132306859991,22.782056510480825,C,Offensive
51,Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,0.7,66.6,135.9,FALSE,FALSE,Regular,Gen 1,TRUE,9,17,Ground/Steel,47.64999999999999,100,2268.259244442751,0.6634615384615384,0.46296296296296297,0.09794549165468394,0.4423076923076923,9.803400525294869,34.89534697949648,29.22687010278506,C,Offensive
53,Alolan Persian,Dark,NA,440,65,60,60,75,65,115,1.1,33,27.3,FALSE,FALSE,Regular,Gen 1,FALSE,16,NA,Dark,26.850000000000005,75,4059.248698958959,0.7099358974358975,0.3472222222222222,0.17528204086118343,0.47329059829059833,10.36900403271384,33.19633730352197,24.714106346715578,F,Offensive
53,Persian,Normal,NA,440,65,70,60,65,65,115,1,32,32,FALSE,FALSE,Regular,Gen 1,FALSE,1,NA,Normal,24.3,81,4059.248698958959,0.7099358974358975,0.375,0.17528204086118343,0.47329059829059833,11.075127795024407,34.73579439916587,24.82189677569281,F,Offensive
55,Golduck,Water,NA,500,80,82,78,95,80,85,1.7,76.6,26.5,FALSE,FALSE,Regular,Gen 1,FALSE,3,NA,Water,31.550000000000004,95,6319.4936506020795,0.43108974358974356,0.4398148148148148,0.2728814680832204,0.28739316239316237,15.29008500923004,37.0192541596097,33.94312913211622,C,Balanced
59,Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,2,168,42,FALSE,FALSE,Regular,Gen 1,TRUE,2,13,Fire/Rock,28.35,115,7600,0.4775641025641026,0.5324074074074074,0.3281748937646116,0.3183760683760684,21.49719381374998,47.07949103958552,41.07283570854511,B,Balanced
59,Arcanine,Fire,NA,555,90,110,80,100,80,95,1.9,155,42.9,FALSE,FALSE,Regular,Gen 1,FALSE,2,NA,Fire,36.05,126,7200,0.5240384615384616,0.5833333333333334,0.31090253093489517,0.3493589743589744,23.124209315372365,50.87423988559712,44.900870057809854,B,Balanced
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1.3,54,32,FALSE,FALSE,Regular,Gen 1,TRUE,3,7,Water/Fighting,35.550000000000004,95,8321.95890400812,0.375,0.4398148148148148,0.3593497341100432,0.25,18.50280618625002,39.853349035354725,40.43108869377995,B,Balanced
65,Alakazam,Psychic,NA,500,55,50,45,135,95,120,1.5,48,21.3,FALSE,FALSE,Regular,Gen 1,FALSE,11,NA,Psychic,23.050000000000008,135,3596.0916284210557,0.7564102564102564,0.625,0.1552824984374854,0.5042735042735043,20,51.784259093189014,34.391779962499655,B,Offensive
65,Mega Alakazam,Psychic,NA,600,55,50,65,175,105,150,1.2,48,33.3,FALSE,FALSE,Regular,Gen 1,FALSE,11,NA,Psychic,23.050000000000008,175,4543.745701511034,1.0352564102564104,0.8101851851851852,0.19620306090615713,0.6901709401709403,32.70297904774574,74.74985553284081,49.18796362060463,S,Offensive
68,Machamp,Fighting,NA,505,90,130,80,65,85,55,1.6,130,50.8,FALSE,FALSE,Regular,Gen 1,FALSE,7,NA,Fighting,26.35,130,7421.59012611179,0.3605769230769231,0.6018518518518519,0.3204709935791088,0.2403846153846154,18.50280618625002,44.250418472511,37.710221143259744,B,Offensive
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1.7,15.5,5.4,FALSE,FALSE,Regular,Gen 1,TRUE,5,8,Grass/Poison,30.35000000000001,123,5396.295025292817,0.375,0.5694444444444444,0.23301691403262792,0.25,13.900421512290222,38.38185632981932,32.014494115739964,C,Offensive
71,Mega Victreebel,Grass,Poison,590,80,125,85,135,95,70,4.5,125.5,6.2,FALSE,FALSE,Regular,Gen 1,TRUE,5,8,Grass/Poison,30.35000000000001,156,7188.880302244571,0.375,0.7222222222222222,0.3104223722994238,0.25,25.272496709444066,54.80169760990728,46.160966977963575,A,Offensive
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1.6,55,21.5,FALSE,FALSE,Regular,Gen 1,TRUE,3,8,Water/Poison,42.650000000000006,80,7065.408693062277,0.5705128205128205,0.37037037037037035,0.30509075621701,0.3803418803418803,19.25035136485859,41.32021214147689,41.58975173628906,B,Balanced
76,Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,1.7,316,109.3,FALSE,FALSE,Regular,Gen 1,TRUE,13,4,Electric/Rock,26.050000000000008,120,7353.9105243400945,0.35096153846153844,0.5555555555555556,0.31754852698418023,0.23397435897435895,18.50280618625002,42.69014863020638,37.272304167203686,B,Balanced
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1.4,300,153.1,FALSE,FALSE,Regular,Gen 1,TRUE,13,9,Ground/Rock,21.750000000000004,120,7353.9105243400945,0.35096153846153844,0.5555555555555556,0.31754852698418023,0.23397435897435895,18.50280618625002,42.69014863020638,35.98230416720368,B,Offensive
78,Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1.7,80,27.7,FALSE,FALSE,Regular,Gen 1,TRUE,11,18,Psychic/Fairy,26.350000000000005,100,4864.154602806124,0.6169871794871794,0.46296296296296297,0.21003860789875609,0.41132478632478625,15.574430642031121,40.595346050107416,31.298135009379045,C,Offensive
78,Rapidash,Fire,NA,500,65,100,70,80,80,105,1.7,95,32.9,FALSE,FALSE,Regular,Gen 1,FALSE,2,NA,Fire,36.05,100,4864.154602806124,0.6169871794871794,0.46296296296296297,0.21003860789875609,0.41132478632478625,15.574430642031121,40.595346050107416,34.20813500937905,C,Offensive
80,Galarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,1.6,70.5,27.5,FALSE,FALSE,Regular,Gen 1,TRUE,8,11,Poison/Psychic,29.15,120,7747.015554392543,0.33653846153846156,0.5555555555555556,0.33452315875731137,0.22435897435897437,14.17374775096818,38.2321687547941,34.280636894476984,C,Balanced
80,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,2,120,30,FALSE,FALSE,Regular,Gen 1,TRUE,3,11,Water/Psychic,32.25000000000001,130,11400,0.33653846153846156,0.6018518518518519,0.4922623406469174,0.22435897435897437,29.044599250431165,55.43834423448361,54.1450065370683,A,Balanced
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1.6,78.5,30.7,FALSE,FALSE,Regular,Gen 1,TRUE,3,11,Water/Psychic,32.25000000000001,100,8911.789943664517,0.33653846153846156,0.46296296296296297,0.3848191734229785,0.22435897435897437,14.86735246818535,36.449771782227494,36.55579040811462,B,Balanced
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,0.8,15,23.4,FALSE,FALSE,Regular,Gen 1,TRUE,1,10,Normal/Flying,30.65,90,3036.550674696538,0.36538461538461536,0.4166666666666667,0.13112101251044683,0.24358974358974358,4.917078033314301,24.04995795453083,19.758982333565026,F,Offensive
83,Galarian Farfetch'd,Fighting,NA,377,52,95,55,58,62,55,0.8,42,65.6,FALSE,FALSE,Regular,Gen 1,FALSE,7,NA,Fighting,26.35,95,3036.550674696538,0.3605769230769231,0.4398148148148148,0.13112101251044683,0.2403846153846154,4.917078033314301,24.667479322052195,18.607871222453916,F,Offensive
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1.8,85.2,26.3,FALSE,FALSE,Regular,Gen 1,TRUE,1,10,Normal/Flying,30.65,110,3888.4444190447157,0.6634615384615384,0.5092592592592593,0.1679065571223153,0.4423076923076923,14.17374775096818,41.07434948686446,30.454060677459303,C,Offensive
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1.7,120,41.5,FALSE,FALSE,Regular,Gen 1,TRUE,3,6,Water/Ice,20.650000000000006,84,7846.0180983732125,0.375,0.3888888888888889,0.33879817840905907,0.25,15.432014288924194,35.13147002604522,32.09150390407495,C,Balanced
89,Muk,Poison,NA,500,105,105,75,65,100,50,1.2,30,20.8,FALSE,FALSE,Regular,Gen 1,FALSE,8,NA,Poison,34.849999999999994,105,9093.266739736606,0.3557692307692308,0.4861111111111111,0.39265550609030747,0.2371794871794872,17.759444378215203,40.39101844039807,40.554843191049244,B,Balanced
89,Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,1,52,52,FALSE,FALSE,Regular,Gen 1,TRUE,8,16,Poison/Dark,37.300000000000004,105,9093.266739736606,0.3557692307692308,0.4861111111111111,0.39265550609030747,0.2371794871794872,17.759444378215203,40.39101844039807,41.28984319104926,B,Balanced
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1.5,132.5,58.9,FALSE,FALSE,Regular,Gen 1,TRUE,3,6,Water/Ice,20.650000000000006,95,4500,0.375,0.4398148148148148,0.1943140818343095,0.25,18.50280618625002,38.863135121700324,32.00023303916234,C,Offensive
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1.5,40.5,18,FALSE,FALSE,Regular,Gen 1,TRUE,14,8,Poison/Ghost,34.150000000000006,130,4024.922359499621,0.6634615384615384,0.6018518518518519,0.17379979838678922,0.4423076923076923,17.759444378215203,47.47318333947611,35.78675065060926,B,Offensive
94,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1.4,40.5,20.7,FALSE,FALSE,Regular,Gen 1,TRUE,14,8,Poison/Ghost,34.150000000000006,170,5230.678732248809,0.84935897435897445,0.7870370370370371,0.22586545227270607,0.5662393162393163,31.26389855609462,69.81994597058556,51.65189163286179,S,Offensive
97,Hypno,Psychic,NA,483,85,73,70,73,115,67,1.6,75.6,29.5,FALSE,FALSE,Regular,Gen 1,FALSE,11,NA,Psychic,23.050000000000008,87.6,7626.3523390937025,0.3721153846153846,0.4055555555555555,0.329312811670207,0.24807692307692308,16.235429275373313,36.331818965907374,33.48727008879162,C,Balanced
99,Kingler,Water,NA,475,55,130,115,50,50,75,1.3,60,35.5,FALSE,FALSE,Regular,Gen 1,FALSE,3,NA,Water,31.550000000000004,130,4170.581494228353,0.3798076923076923,0.6018518518518519,0.18008949194803223,0.2532051282051282,16.29333600183721,41.50635158600404,33.691594919701096,C,Offensive
101,Electrode,Electric,NA,490,60,50,70,80,80,150,1.2,66.6,46.3,FALSE,FALSE,Regular,Gen 1,FALSE,4,NA,Electric,30.400000000000006,80,4489.98886412873,1.0352564102564104,0.37037037037037035,0.1938817919065441,0.6901709401709403,18.50280618625002,47.34131061290296,34.498191414229304,B,Offensive
101,Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,1.2,71,49.3,FALSE,FALSE,Regular,Gen 1,TRUE,4,5,Electric/Grass,27.050000000000008,80,4489.98886412873,1.0352564102564104,0.37037037037037035,0.1938817919065441,0.6901709401709403,18.50280618625002,47.34131061290296,33.4931914142293,B,Offensive
103,Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,10.9,415.6,3.5,FALSE,FALSE,Regular,Gen 1,TRUE,5,15,Grass/Dragon,17.950000000000003,125,7585.141725768874,0.35096153846153844,0.5787037037037037,0.327533300005753,0.23397435897435895,16.29333600183721,41.23503152836746,33.011357424197506,C,Offensive
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,2,120,30,FALSE,FALSE,Regular,Gen 1,TRUE,5,11,Grass/Psychic,23.900000000000002,125,7585.141725768874,0.3605769230769231,0.5787037037037037,0.327533300005753,0.2403846153846154,17.759444378215203,42.8549860585916,36.2624658005755,B,Offensive
105,Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,1,34,34,FALSE,FALSE,Regular,Gen 1,TRUE,2,14,Fire/Ghost,42.45000000000001,80,5628.498911788116,0.35096153846153844,0.37037037037037035,0.24304368847767066,0.23397435897435895,9.803400525294869,27.988158382656618,30.59367127098119,C,Balanced
105,Marowak,Ground,NA,425,60,80,110,50,80,45,1,45,45,FALSE,FALSE,Regular,Gen 1,FALSE,9,NA,Ground,26.850000000000005,80,5628.498911788116,0.35096153846153844,0.37037037037037035,0.24304368847767066,0.23397435897435895,9.803400525294869,27.988158382656618,25.91367127098119,C,Balanced
106,Hitmonlee,Fighting,NA,455,50,120,53,35,110,87,1.5,49.8,22.1,FALSE,FALSE,Regular,Gen 1,FALSE,7,NA,Fighting,26.35,120,3817.7218337642153,0.4496794871794872,0.5555555555555556,0.16485269173926442,0.2997863247863248,15.574430642031121,40.42508525400517,30.7692285771068,C,Offensive
107,Hitmonchan,Fighting,NA,455,50,105,79,35,110,76,1.4,50.2,25.6,FALSE,FALSE,Regular,Gen 1,FALSE,7,NA,Fighting,26.35,105,4661.008474568567,0.38076923076923075,0.4861111111111111,0.20126657381282814,0.25384615384615383,15.574430642031121,37.457671110549114,31.226495080205662,C,Offensive
110,Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60,3,16,1.8,FALSE,FALSE,Regular,Gen 1,TRUE,8,18,Poison/Fairy,35.550000000000004,105,5957.348403442592,0.36538461538461536,0.4861111111111111,0.2572437078182304,0.24358974358974358,15.574430642031121,37.547380068427685,35.32994629633532,B,Balanced
110,Weezing,Poison,NA,490,65,90,120,85,70,60,1.2,9.5,6.6,FALSE,FALSE,Regular,Gen 1,FALSE,8,NA,Poison,34.849999999999994,105,5957.348403442592,0.36538461538461536,0.4861111111111111,0.2572437078182304,0.24358974358974358,15.574430642031121,37.547380068427685,35.119946296335314,B,Balanced
115,Kangaskhan,Normal,NA,490,105,95,80,40,80,90,2.2,80,16.5,FALSE,FALSE,Regular,Gen 1,FALSE,1,NA,Normal,24.3,95,8400,0.4775641025641026,0.4398148148148148,0.3627196194240444,0.3183760683760684,20,43.011787802014354,38.63415975506595,B,Balanced
115,Mega Kangaskhan,Normal,NA,590,105,125,100,60,100,100,2.2,100,20.7,FALSE,FALSE,Regular,Gen 1,FALSE,1,NA,Normal,24.3,125,10500,0.5705128205128205,0.5787037037037037,0.4533995242800555,0.3803418803418803,30.740991339960704,59.950704724957276,52.384802144904256,A,Balanced
119,Seaking,Water,NA,450,80,92,65,65,80,68,1.3,39,23.1,FALSE,FALSE,Regular,Gen 1,FALSE,3,NA,Water,31.550000000000004,92,5768.882040742383,0.3730769230769231,0.42592592592592593,0.24910555932384304,0.24871794871794872,10.955400749568835,31.19704265252044,28.954489728896625,C,Balanced
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1.1,80,66.1,FALSE,FALSE,Regular,Gen 1,TRUE,3,11,Water/Psychic,32.25000000000001,100,5100,0.7099358974358975,0.46296296296296297,0.2202226260788841,0.47329059829059833,19.25035136485859,45.81955036919514,36.98847216852959,B,Offensive
122,Mr. MimeGalarian Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100,1.4,56.8,29,FALSE,FALSE,Regular,Gen 1,TRUE,6,11,Ice/Psychic,17.1,90,3824.2646351945887,0.5705128205128205,0.4166666666666667,0.1651352158398349,0.3803418803418803,12.188133226097385,34.807149649341525,23.781378406253424,F,Offensive
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1.3,54.5,32.2,FALSE,FALSE,Regular,Gen 1,TRUE,11,18,Psychic/Fairy,26.350000000000005,100,3532.7043465311385,0.4775641025641026,0.46296296296296297,0.152545378108505,0.3183760683760684,14.86735246818535,37.31253926675091,29.21121932056725,C,Offensive
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1.4,40.6,20.7,FALSE,FALSE,Regular,Gen 1,TRUE,6,11,Ice/Psychic,17.1,115,3748.0828432680087,0.5240384615384616,0.5324074074074074,0.16184561696190028,0.3493589743589744,13.4951265131967,38.82303782180571,25.70386576472675,C,Offensive
127,Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1.7,59,20.4,FALSE,FALSE,Regular,Gen 1,TRUE,12,10,Flying/Bug,20.850000000000005,155,6754.998149518622,0.6169871794871794,0.7175925925925926,0.2916869473813713,0.41132478632478625,31.26389855609462,64.4135928899555,48.82494084880308,A,Offensive
127,Pinsir,Bug,NA,500,65,125,100,55,70,85,1.5,55,24.4,FALSE,FALSE,Regular,Gen 1,FALSE,12,NA,Bug,26.35,125,5438.290172471491,0.43108974358974356,0.5787037037037037,0.23483030258052143,0.28739316239316237,19.25035136485859,44.91788018888873,36.263500849013326,B,Offensive
128,TaurosBlaze Breed,Fighting,Fire,490,75,110,105,30,70,100,1.4,85,43.4,FALSE,FALSE,Regular,Gen 1,TRUE,7,2,Fire/Fighting,33.650000000000006,110,6429.910574805843,0.5705128205128205,0.5092592592592593,0.2776493710266921,0.3803418803418803,21.49719381374998,47.56907294589304,41.31133427394615,B,Offensive
128,Tauros,Normal,NA,490,75,100,95,40,70,110,1.4,88.4,45.1,FALSE,FALSE,Regular,Gen 1,FALSE,1,NA,Normal,24.3,100,6116.064911362533,0.6634615384615384,0.46296296296296297,0.2640972305978774,0.4423076923076923,20,46.08885688786077,36.40611131212684,B,Offensive
128,TaurosAqua Breed,Fighting,Water,490,75,110,105,30,70,100,1.4,110,56.1,FALSE,FALSE,Regular,Gen 1,TRUE,7,3,Water/Fighting,35.550000000000004,110,6429.910574805843,0.5705128205128205,0.5092592592592593,0.2776493710266921,0.3803418803418803,21.49719381374998,47.56907294589304,41.88133427394615,B,Balanced
