dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_mythical,is_paradox,is_ultra_beast,is_special,category,generation,has_bug,has_dark,has_dragon,has_electric,has_fairy,has_fighting,has_fire,has_flying,has_ghost,has_grass,has_ground,has_ice,has_normal,has_poison,has_psychic,has_rock,has_steel,has_water,is_dual_type,bst_score,type_score,balance_score,access_score,total_rating,tier
20,RaticateAlolan Raticate,Dark,Normal,413,75,71,70,40,80,77,0.7,25.5,52,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20,8.076923076923077,17.595353945222865,10,55.67227702214594,C
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1.2,38,26.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20,10.384615384615385,17.221057422989,10,57.605672807604385,C
24,Arbok,Poison,NA,448,60,95,69,65,79,80,3.5,65,5.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,20,9.230769230769232,18.509568227404056,10,57.740337458173286,C
25,Pikachu,Electric,NA,320,35,55,40,50,50,90,0.4,6,37.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,10,9.230769230769232,14.344662309043837,10,43.57543153981307,F
25,PikachuPartner Pikachu,Electric,NA,430,45,80,50,75,60,120,0.4,6,37.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,20,9.230769230769232,13.972129119459938,10,53.20289835022917,D
26,RaichuAlolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,0.7,21,42.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,25,6.923076923076923,16.249566241427598,10,58.17264316450452,C
26,Raichu,Electric,NA,485,60,90,55,90,80,110,0.8,30,46.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25,9.230769230769232,16.68290811890642,10,60.91367734967565,C
28,Sandslash,Ground,NA,450,75,100,110,45,55,65,1,29.5,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,25,16.153846153846153,14.858200788247109,10,66.01204694209326,B
28,SandslashAlolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,1.2,55,38.2,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,25,17.307692307692307,12.79641851679331,10,65.10411082448562,B
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1.3,60,35.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,30,12.692307692307693,20,10,72.6923076923077,B
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1.4,62,31.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,30,12.692307692307693,19.68803291844624,10,72.38034061075393,B
36,Clefable,Fairy,NA,483,95,70,73,95,90,60,1.3,40,23.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25,18.461538461538463,18.198939638281708,10,71.66047809982018,B
38,Ninetales,Fire,NA,505,73,76,75,81,100,100,1.1,19.9,16.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,30,18.461538461538463,18.94897422723078,10,77.41051268876924,A
38,NinetalesAlolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1.1,19.9,16.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,11.53846153846154,17.911759876322638,10,69.45022141478418,B
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,12,12,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20,11.53846153846154,11.29252997834452,10,52.83099151680606,D
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1.2,18.6,12.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,25,4.615384615384616,16.983047441691124,10,56.59843205707574,C
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,29.5,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20,1.153846153846154,14.920732410398902,10,46.07457856424506,D
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1.5,12.5,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,25,5.76923076923077,18.52872745293822,10,59.29795822216899,C
51,Dugtrio,Ground,NA,425,35,100,50,50,70,120,0.7,33.3,68,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,20,16.153846153846153,12.181321608043397,10,58.33516776188955,C
51,DugtrioAlolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,0.7,66.6,135.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,20,23.076923076923077,13.352803349507745,10,66.42972642643082,B
53,PersianAlolan Persian,Dark,NA,440,65,60,60,75,65,115,1.1,33,27.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,20,11.538461538461538,15.966925632994947,10,57.50538717145649,C
53,Persian,Normal,NA,440,65,70,60,65,65,115,1,32,32,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,20,4.615384615384616,16.106779410238186,10,50.7221640256228,D
55,Golduck,Water,NA,500,80,82,78,95,80,85,1.7,76.6,26.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,30,16.153846153846153,20,10,76.15384615384616,A
59,ArcanineHisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,2,168,42,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,15,19.1446119110073,10,79.1446119110073,A
59,Arcanine,Fire,NA,555,90,110,80,100,80,95,1.9,155,42.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,35,18.461538461538463,19.426361899107672,10,82.88790036064614,A
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1.3,54,32,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,30,11.538461538461538,19.1599037705453,10,70.69836530900685,B
65,Alakazam,Psychic,NA,500,55,50,45,135,95,120,1.5,48,21.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,30,4.615384615384616,12.16112775557611,10,56.776512370960724,C
65,AlakazamMega Alakazam,Psychic,NA,600,55,50,65,175,105,150,1.2,48,33.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,40,4.615384615384616,10.843881352955,10,65.45926596833962,B
68,Machamp,Fighting,NA,505,90,130,80,65,85,55,1.6,130,50.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,30,6.923076923076923,15.532022469302953,10,62.45509939237987,C
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1.7,15.5,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,25,4.615384615384616,17.700106124475717,10,57.31549073986034,C
71,VictreebelMega Victreebel,Grass,Poison,590,80,125,85,135,95,70,4.5,125.5,6.2,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,35,4.615384615384616,16.473969397774038,10,66.08935401315865,B
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1.6,55,21.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,30,12.692307692307693,17.000971723630315,10,69.69327941593801,B
76,GolemAlolan Golem,Rock,Electric,495,80,120,130,55,65,45,1.7,316,109.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,10.384615384615385,13.042212520576133,10,58.426827905191516,C
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1.4,300,153.1,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,13.846153846153847,13.042212520576133,10,61.88836636672998,C
78,RapidashGalarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1.7,80,27.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,30,11.53846153846154,18.0230859834215,10,69.56154752188304,B
78,Rapidash,Fire,NA,500,65,100,70,80,80,105,1.7,95,32.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,30,18.461538461538463,18.0230859834215,10,76.48462444495996,A
80,SlowbroGalarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,1.6,70.5,27.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,25,6.923076923076923,14.877246963986355,10,56.80032388706328,C
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,2,120,30,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,35,10.384615384615385,10.931311226249768,10,66.31592661086515,B
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1.6,78.5,30.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,25,10.384615384615385,14.690115394273679,10,60.07473077888906,C
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,0.8,15,23.4,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,10.384615384615385,17.444686028401932,10,52.82930141301732,D
83,Farfetch'dGalarian Farfetch'd,Fighting,NA,377,52,95,55,58,62,55,0.8,42,65.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,15,6.923076923076923,16.646024744812337,10,48.56910166788926,D
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1.8,85.2,26.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25,10.384615384615385,15.349387050130826,10,60.734002434746216,C
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1.7,120,41.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,25,10.384615384615385,19.12664590350253,10,64.51126128811792,C
89,Muk,Poison,NA,500,105,105,75,65,100,50,1.2,30,20.8,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,30,9.230769230769232,16.130366755904696,10,65.36113598667393,B
89,MukAlolan Muk,Poison,Dark,500,105,105,75,65,100,50,1,52,52,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,30,10.384615384615385,16.130366755904696,10,66.51498214052009,B
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1.5,132.5,58.9,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,30,10.384615384615385,10.076154913785713,10,60.4607702984011,C
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1.5,40.5,18,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,30,13.846153846153847,14.528863399176503,10,68.37501724533035,B
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1.4,40.5,20.7,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,40,13.846153846153847,13.025800490282117,10,76.87195433643596,A
97,Hypno,Psychic,NA,483,85,73,70,73,115,67,1.6,75.6,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,25,4.615384615384616,17.357858665419183,10,56.9732432808038,C
99,Kingler,Water,NA,475,55,130,115,50,50,75,1.3,60,35.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,25,16.153846153846153,12.633302157775173,10,63.78714831162132,C
101,Electrode,Electric,NA,490,60,50,70,80,80,150,1.2,66.6,46.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25,9.230769230769232,12.840763236027875,10,57.07153246679711,C
101,ElectrodeHisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,1.2,71,49.3,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25,4.615384615384616,12.840763236027875,10,52.456147851412496,D
103,ExeggutorAlolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,10.9,415.6,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,4.615384615384616,15.513802870505232,10,60.129187485889844,C
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,2,120,30,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,30,2.307692307692308,16.470704486702545,10,58.77839679439485,C
105,MarowakAlolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,1,34,34,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20,18.461538461538463,14.830718915777972,10,63.29225737731644,C
105,Marowak,Ground,NA,425,60,80,110,50,80,45,1,45,45,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,20,16.153846153846153,14.830718915777972,10,60.984565069624125,C
106,Hitmonlee,Fighting,NA,455,50,120,53,35,110,87,1.5,49.8,22.1,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25,6.923076923076923,12.27338060335611,10,54.196457526433036,D
107,Hitmonchan,Fighting,NA,455,50,105,79,35,110,76,1.4,50.2,25.6,FALSE,FALSE,FALSE,FALSE,FALSE,Regular,Gen 1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25,6.923076923076923,13.795405698601165,10,55.71848262167809,C
