dex,name,category,generation,type_1,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,outlier_count,PC1,PC2,PC3,PC4,PC5,cluster
181,Ampharos,Regular,Gen 2,Electric,90,75,85,115,90,55,1.4,61.5,31.4,0,-0.12491216490573843,0.12406688885576272,0.887981447547964,-0.7458033789911815,0.6497101130490446,4
181,AmpharosMega Ampharos,Regular,Gen 2,Electric,90,95,105,165,110,45,1.4,61.5,31.4,0,0.7639850365982834,-0.24221939987672764,2.0725357717701405,-0.2860468316258632,0.352170650139123,4
182,Bellossom,Regular,Gen 2,Grass,75,80,95,90,100,50,0.4,5.8,36.3,0,-0.7040585501833226,1.087540649531864,1.004972662475366,-0.3698404792176081,-0.038865508162448256,4
184,Azumarill,Regular,Gen 2,Water,100,50,80,60,80,50,0.8,28.5,44.5,0,-0.830631507468375,1.3533572463832027,0.04960425528924011,-1.3599881462817165,1.0832013389547035,4
185,Sudowoodo,Regular,Gen 2,Rock,70,100,115,30,65,30,1.2,38,26.4,0,-0.39494072170358896,2.1040966361241673,-0.7869310978696482,-1.2135744512195825,-1.41095089010072,4
186,Politoed,Regular,Gen 2,Water,90,75,75,90,100,70,1.1,33.9,28,0,-0.5621988241146335,0.14235264875776574,0.7251973142197093,-0.5962328160846017,0.5258277503241704,4
189,Jumpluff,Regular,Gen 2,Grass,75,55,70,55,95,110,0.8,3,4.7,0,-1.7971509316310987,-0.1625486275293082,0.4164899116228527,-0.25369080748430145,0.035086593806066935,1
192,Sunflora,Regular,Gen 2,Grass,75,75,55,105,85,30,0.8,8.5,13.3,0,-1.2441986854987672,0.2283164805236384,0.7281483336350497,-1.43795523949969,0.5164631725203537,4
195,Quagsire,Regular,Gen 2,Water,95,85,85,65,65,35,1.4,75,38.3,0,-0.15151491854361204,1.1630459039032586,-0.6572253807452767,-1.4656005682858757,0.3143214917778141,4
196,Espeon,Regular,Gen 2,Psychic,65,65,60,130,95,110,0.9,26.5,32.7,0,-1.418350127194365,-1.0652162866447334,1.1578869335326654,0.8135442665139551,0.9392619710353687,1
197,Umbreon,Regular,Gen 2,Dark,95,65,110,60,130,65,1,27,27,0,-0.050178383925149034,1.285728455361235,1.6057142871213617,-0.7074146455655974,-0.157585458557808,4
199,Slowking,Regular,Gen 2,Water,95,75,80,100,110,30,2,79.5,19.9,0,0.30521318294567296,0.4345001703141954,1.3615526126752147,-1.6122601306071458,0.45169148359219724,4
199,SlowkingGalarian Slowking,Regular,Gen 2,Poison,95,65,80,110,110,30,1.8,79.5,24.5,0,0.19020358823381506,0.45733120022938323,1.613232621786986,-1.5371684003124568,0.7871180487273519,4
201,Unown,Regular,Gen 2,Psychic,48,72,48,72,48,48,0.5,5,20,0,-2.4069174585293105,0.5405941704553596,-0.6980219018464159,-0.8824599690103272,0.12201901128959305,1
202,Wobbuffet,Regular,Gen 2,Psychic,190,33,58,33,58,33,1.3,28.5,16.9,1,0.023862869397689515,0.8295310720305911,-1.4851589815802644,-4.368055436936869,2.739382436579905,4
205,Forretress,Regular,Gen 2,Bug,75,90,140,60,60,40,1.2,125.8,87.4,0,0.5987833629475092,2.7174829534241085,-0.6192107091089867,0.08207486866481128,-0.2934233322968004,3
210,Granbull,Regular,Gen 2,Fairy,90,120,75,60,60,45,1.4,48.7,24.8,0,-0.24780267538800727,0.5329130731728562,-1.369141676991706,-1.2018116032291584,-0.45215403278506167,4
211,Qwilfish,Regular,Gen 2,Water,65,95,85,55,55,85,0.5,3.9,15.6,0,-1.5675705110748244,0.40633387381451386,-1.0627355901256597,-0.17101046360455346,-0.8042688540509823,1
