dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation,is_dual_type
83,Galarian Farfetch'd,Fighting,NA,377,52,95,55,58,62,55,0.8,42,65.6,FALSE,FALSE,Regular,Gen 1,FALSE
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1.8,85.2,26.3,FALSE,FALSE,Regular,Gen 1,TRUE
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1.7,120,41.5,FALSE,FALSE,Regular,Gen 1,TRUE
89,Muk,Poison,NA,500,105,105,75,65,100,50,1.2,30,20.8,FALSE,FALSE,Regular,Gen 1,FALSE
89,Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,1,52,52,FALSE,FALSE,Regular,Gen 1,TRUE
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1.5,132.5,58.9,FALSE,FALSE,Regular,Gen 1,TRUE
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1.5,40.5,18,FALSE,FALSE,Regular,Gen 1,TRUE
94,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1.4,40.5,20.7,FALSE,FALSE,Regular,Gen 1,TRUE
97,Hypno,Psychic,NA,483,85,73,70,73,115,67,1.6,75.6,29.5,FALSE,FALSE,Regular,Gen 1,FALSE
99,Kingler,Water,NA,475,55,130,115,50,50,75,1.3,60,35.5,FALSE,FALSE,Regular,Gen 1,FALSE
101,Electrode,Electric,NA,490,60,50,70,80,80,150,1.2,66.6,46.3,FALSE,FALSE,Regular,Gen 1,FALSE
101,Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,1.2,71,49.3,FALSE,FALSE,Regular,Gen 1,TRUE
103,Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,10.9,415.6,3.5,FALSE,FALSE,Regular,Gen 1,TRUE
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,2,120,30,FALSE,FALSE,Regular,Gen 1,TRUE
105,Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,1,34,34,FALSE,FALSE,Regular,Gen 1,TRUE
105,Marowak,Ground,NA,425,60,80,110,50,80,45,1,45,45,FALSE,FALSE,Regular,Gen 1,FALSE
106,Hitmonlee,Fighting,NA,455,50,120,53,35,110,87,1.5,49.8,22.1,FALSE,FALSE,Regular,Gen 1,FALSE
107,Hitmonchan,Fighting,NA,455,50,105,79,35,110,76,1.4,50.2,25.6,FALSE,FALSE,Regular,Gen 1,FALSE
110,Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60,3,16,1.8,FALSE,FALSE,Regular,Gen 1,TRUE
110,Weezing,Poison,NA,490,65,90,120,85,70,60,1.2,9.5,6.6,FALSE,FALSE,Regular,Gen 1,FALSE
115,Kangaskhan,Normal,NA,490,105,95,80,40,80,90,2.2,80,16.5,FALSE,FALSE,Regular,Gen 1,FALSE
115,Mega Kangaskhan,Normal,NA,590,105,125,100,60,100,100,2.2,100,20.7,FALSE,FALSE,Regular,Gen 1,FALSE
119,Seaking,Water,NA,450,80,92,65,65,80,68,1.3,39,23.1,FALSE,FALSE,Regular,Gen 1,FALSE
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1.1,80,66.1,FALSE,FALSE,Regular,Gen 1,TRUE
122,Mr. MimeGalarian Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100,1.4,56.8,29,FALSE,FALSE,Regular,Gen 1,TRUE
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1.3,54.5,32.2,FALSE,FALSE,Regular,Gen 1,TRUE
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1.4,40.6,20.7,FALSE,FALSE,Regular,Gen 1,TRUE
127,Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1.7,59,20.4,FALSE,FALSE,Regular,Gen 1,TRUE
127,Pinsir,Bug,NA,500,65,125,100,55,70,85,1.5,55,24.4,FALSE,FALSE,Regular,Gen 1,FALSE
128,TaurosBlaze Breed,Fighting,Fire,490,75,110,105,30,70,100,1.4,85,43.4,FALSE,FALSE,Regular,Gen 1,TRUE
128,Tauros,Normal,NA,490,75,100,95,40,70,110,1.4,88.4,45.1,FALSE,FALSE,Regular,Gen 1,FALSE
128,TaurosAqua Breed,Fighting,Water,490,75,110,105,30,70,100,1.4,110,56.1,FALSE,FALSE,Regular,Gen 1,TRUE
128,TaurosCombat Breed,Fighting,NA,490,75,110,105,30,70,100,1.4,115,58.7,FALSE,FALSE,Regular,Gen 1,FALSE
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,6.5,235,5.6,FALSE,FALSE,Regular,Gen 1,TRUE
130,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,6.5,305,7.2,FALSE,FALSE,Regular,Gen 1,TRUE
131,Lapras,Water,Ice,535,130,85,80,85,95,60,2.5,220,35.2,FALSE,FALSE,Regular,Gen 1,TRUE
132,Ditto,Normal,NA,288,48,48,48,48,48,48,0.3,4,44.4,FALSE,FALSE,Regular,Gen 1,FALSE
133,Eevee,Normal,NA,325,55,55,50,45,65,55,0.3,6.5,72.2,FALSE,FALSE,Regular,Gen 1,FALSE
133,Partner Eevee,Normal,NA,435,65,75,70,65,85,75,0.3,6.5,72.2,FALSE,FALSE,Regular,Gen 1,FALSE
134,Vaporeon,Water,NA,525,130,65,60,110,95,65,1,29,29,FALSE,FALSE,Regular,Gen 1,FALSE
135,Jolteon,Electric,NA,525,65,65,60,110,95,130,0.8,24.5,38.3,FALSE,FALSE,Regular,Gen 1,FALSE
136,Flareon,Fire,NA,525,65,130,60,95,110,65,0.9,25,30.9,FALSE,FALSE,Regular,Gen 1,FALSE
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,35,35,FALSE,FALSE,Regular,Gen 1,TRUE
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1.3,40.5,24,FALSE,FALSE,Regular,Gen 1,TRUE
142,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,2.1,79,17.9,FALSE,FALSE,Regular,Gen 1,TRUE
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1.8,59,18.2,FALSE,FALSE,Regular,Gen 1,TRUE
143,Snorlax,Normal,NA,540,160,110,65,65,110,30,2.1,460,104.3,FALSE,FALSE,Regular,Gen 1,FALSE
144,Galarian Articuno,Psychic,Flying,580,90,85,85,125,100,95,1.7,50.9,17.6,TRUE,TRUE,Legendary,Gen 1,TRUE
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1.7,55.4,19.2,TRUE,TRUE,Legendary,Gen 1,TRUE
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1.6,52.6,20.5,TRUE,TRUE,Legendary,Gen 1,TRUE
145,Galarian Zapdos,Fighting,Flying,580,90,125,90,85,90,100,1.6,58.2,22.7,TRUE,TRUE,Legendary,Gen 1,TRUE
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,2,60,15,TRUE,TRUE,Legendary,Gen 1,TRUE
146,Galarian Moltres,Dark,Flying,580,90,85,90,100,125,90,2,66,16.5,TRUE,TRUE,Legendary,Gen 1,TRUE
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,2.2,210,43.4,FALSE,FALSE,Regular,Gen 1,TRUE
149,Mega Dragonite,Dragon,Flying,700,91,124,115,145,125,100,2.2,290,59.9,FALSE,FALSE,Regular,Gen 1,TRUE
150,Mega Mewtwo Y,Psychic,NA,780,106,150,70,194,120,140,1.5,33,14.7,TRUE,TRUE,Legendary,Gen 1,FALSE
150,Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,2.3,127,24,TRUE,TRUE,Legendary,Gen 1,TRUE
150,Mewtwo,Psychic,NA,680,106,110,90,154,90,130,2,122,30.5,TRUE,TRUE,Legendary,Gen 1,FALSE
151,Mew,Psychic,NA,600,100,100,100,100,100,100,0.4,4,25,FALSE,TRUE,Mythical,Gen 1,FALSE
154,Meganium,Grass,NA,525,80,82,100,83,100,80,1.8,100.5,31,FALSE,FALSE,Regular,Gen 2,FALSE
157,Hisuian Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,1.6,69.8,27.3,FALSE,FALSE,Regular,Gen 2,TRUE
157,Typhlosion,Fire,NA,534,78,84,78,109,85,100,1.7,79.5,27.5,FALSE,FALSE,Regular,Gen 2,FALSE
160,Feraligatr,Water,NA,530,85,105,100,79,83,78,2.3,88.8,16.8,FALSE,FALSE,Regular,Gen 2,FALSE
162,Furret,Normal,NA,415,85,76,64,45,55,90,1.8,32.5,10,FALSE,FALSE,Regular,Gen 2,FALSE
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,1.6,40.8,15.9,FALSE,FALSE,Regular,Gen 2,TRUE
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,1.4,35.6,18.2,FALSE,FALSE,Regular,Gen 2,TRUE
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,1.1,33.5,27.7,FALSE,FALSE,Regular,Gen 2,TRUE
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,1.8,75,23.1,FALSE,FALSE,Regular,Gen 2,TRUE
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,1.2,22.5,15.6,FALSE,FALSE,Regular,Gen 2,TRUE
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,1.5,15,6.7,FALSE,FALSE,Regular,Gen 2,TRUE
181,Ampharos,Electric,NA,510,90,75,85,115,90,55,1.4,61.5,31.4,FALSE,FALSE,Regular,Gen 2,FALSE
181,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,1.4,61.5,31.4,FALSE,FALSE,Regular,Gen 2,TRUE
182,Bellossom,Grass,NA,490,75,80,95,90,100,50,0.4,5.8,36.3,FALSE,FALSE,Regular,Gen 2,FALSE
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,0.8,28.5,44.5,FALSE,FALSE,Regular,Gen 2,TRUE
185,Sudowoodo,Rock,NA,410,70,100,115,30,65,30,1.2,38,26.4,FALSE,FALSE,Regular,Gen 2,FALSE
186,Politoed,Water,NA,500,90,75,75,90,100,70,1.1,33.9,28,FALSE,FALSE,Regular,Gen 2,FALSE
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,0.8,3,4.7,FALSE,FALSE,Regular,Gen 2,TRUE
192,Sunflora,Grass,NA,425,75,75,55,105,85,30,0.8,8.5,13.3,FALSE,FALSE,Regular,Gen 2,FALSE
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,1.4,75,38.3,FALSE,FALSE,Regular,Gen 2,TRUE
196,Espeon,Psychic,NA,525,65,65,60,130,95,110,0.9,26.5,32.7,FALSE,FALSE,Regular,Gen 2,FALSE
197,Umbreon,Dark,NA,525,95,65,110,60,130,65,1,27,27,FALSE,FALSE,Regular,Gen 2,FALSE
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,79.5,19.9,FALSE,FALSE,Regular,Gen 2,TRUE
199,Galarian Slowking,Poison,Psychic,490,95,65,80,110,110,30,1.8,79.5,24.5,FALSE,FALSE,Regular,Gen 2,TRUE
201,Unown,Psychic,NA,336,48,72,48,72,48,48,0.5,5,20,FALSE,FALSE,Regular,Gen 2,FALSE
202,Wobbuffet,Psychic,NA,405,190,33,58,33,58,33,1.3,28.5,16.9,FALSE,FALSE,Regular,Gen 2,FALSE
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,1.2,125.8,87.4,FALSE,FALSE,Regular,Gen 2,TRUE
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,9.2,400,4.7,FALSE,FALSE,Regular,Gen 2,TRUE
208,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,10.5,740,6.7,FALSE,FALSE,Regular,Gen 2,TRUE
210,Granbull,Fairy,NA,450,90,120,75,60,60,45,1.4,48.7,24.8,FALSE,FALSE,Regular,Gen 2,FALSE
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,0.5,3.9,15.6,FALSE,FALSE,Regular,Gen 2,TRUE
211,Hisuian Qwilfish,Dark,Poison,440,65,95,85,55,55,85,0.5,3.9,15.6,FALSE,FALSE,Regular,Gen 2,TRUE
212,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,125,31.3,FALSE,FALSE,Regular,Gen 2,TRUE
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,1.8,118,36.4,FALSE,FALSE,Regular,Gen 2,TRUE
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,0.6,20.5,56.9,FALSE,FALSE,Regular,Gen 2,TRUE
214,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,1.7,62.5,21.6,FALSE,FALSE,Regular,Gen 2,TRUE
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,1.5,54,24,FALSE,FALSE,Regular,Gen 2,TRUE
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,0.8,55,85.9,FALSE,FALSE,Regular,Gen 2,TRUE
222,Galarian Corsola,Ghost,NA,410,60,55,100,65,100,30,0.6,0.5,1.4,FALSE,FALSE,Regular,Gen 2,FALSE
222,Corsola,Water,Rock,410,65,55,95,65,95,35,0.6,5,13.9,FALSE,FALSE,Regular,Gen 2,TRUE
224,Octillery,Water,NA,480,75,105,75,105,75,45,0.9,28.5,35.2,FALSE,FALSE,Regular,Gen 2,FALSE
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,0.9,16,19.8,FALSE,FALSE,Regular,Gen 2,TRUE
226,Mantine,Water,Flying,485,85,40,70,80,140,70,2.1,220,49.9,FALSE,FALSE,Regular,Gen 2,TRUE
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,1.7,50.5,17.5,FALSE,FALSE,Regular,Gen 2,TRUE
229,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,1.9,49.5,13.7,FALSE,FALSE,Regular,Gen 2,TRUE
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,1.4,35,17.9,FALSE,FALSE,Regular,Gen 2,TRUE
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,1.8,152,46.9,FALSE,FALSE,Regular,Gen 2,TRUE
232,Donphan,Ground,NA,500,90,120,120,60,60,50,1.1,120,99.2,FALSE,FALSE,Regular,Gen 2,FALSE
235,Smeargle,Normal,NA,250,55,20,35,20,45,75,1.2,58,40.3,FALSE,FALSE,Regular,Gen 2,FALSE
237,Hitmontop,Fighting,NA,455,50,95,95,35,110,70,1.4,48,24.5,FALSE,FALSE,Regular,Gen 2,FALSE
241,Miltank,Normal,NA,490,95,80,105,40,70,100,1.2,75.5,52.4,FALSE,FALSE,Regular,Gen 2,FALSE
242,Blissey,Normal,NA,540,255,10,10,75,135,55,1.5,46.8,20.8,FALSE,FALSE,Regular,Gen 2,FALSE
243,Raikou,Electric,NA,580,90,85,75,115,100,115,1.9,178,49.3,TRUE,TRUE,Legendary,Gen 2,FALSE
244,Entei,Fire,NA,580,115,115,85,90,75,100,2.1,198,44.9,TRUE,TRUE,Legendary,Gen 2,FALSE
245,Suicune,Water,NA,580,100,75,115,90,115,85,2,187,46.8,TRUE,TRUE,Legendary,Gen 2,FALSE
248,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2.5,255,40.8,FALSE,FALSE,Regular,Gen 2,TRUE
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,202,50.5,FALSE,FALSE,Regular,Gen 2,TRUE
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,5.2,216,8,TRUE,TRUE,Legendary,Gen 2,TRUE
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,3.8,199,13.8,TRUE,TRUE,Legendary,Gen 2,TRUE
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,0.6,5,13.9,FALSE,TRUE,Mythical,Gen 2,TRUE
254,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,1.9,55.2,15.3,FALSE,FALSE,Regular,Gen 3,TRUE
254,Sceptile,Grass,NA,530,70,85,65,105,85,120,1.7,52.2,18.1,FALSE,FALSE,Regular,Gen 3,FALSE
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,1.9,52,14.4,FALSE,FALSE,Regular,Gen 3,TRUE
257,Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,1.9,52,14.4,FALSE,FALSE,Regular,Gen 3,TRUE
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,1.9,102,28.3,FALSE,FALSE,Regular,Gen 3,TRUE
260,Swampert,Water,Ground,535,100,110,90,85,90,60,1.5,81.9,36.4,FALSE,FALSE,Regular,Gen 3,TRUE
262,Mightyena,Dark,NA,420,70,90,70,60,60,70,1,37,37,FALSE,FALSE,Regular,Gen 3,FALSE
264,Linoone,Normal,NA,420,78,70,61,50,61,100,0.5,32.5,130,FALSE,FALSE,Regular,Gen 3,FALSE
264,Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100,0.5,32.5,130,FALSE,FALSE,Regular,Gen 3,TRUE
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,1,28.4,28.4,FALSE,FALSE,Regular,Gen 3,TRUE
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,1.2,31.6,21.9,FALSE,FALSE,Regular,Gen 3,TRUE
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,1.5,55,24.4,FALSE,FALSE,Regular,Gen 3,TRUE
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,1.3,59.6,35.3,FALSE,FALSE,Regular,Gen 3,TRUE
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,0.7,19.8,40.4,FALSE,FALSE,Regular,Gen 3,TRUE
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,1.2,28,19.4,FALSE,FALSE,Regular,Gen 3,TRUE
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,1.6,48.4,18.9,FALSE,FALSE,Regular,Gen 3,TRUE
282,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,1.6,48.4,18.9,FALSE,FALSE,Regular,Gen 3,TRUE
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,0.8,3.6,5.6,FALSE,FALSE,Regular,Gen 3,TRUE
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,1.2,39.2,27.2,FALSE,FALSE,Regular,Gen 3,TRUE
289,Slaking,Normal,NA,670,150,160,100,95,65,100,2,130.5,32.6,FALSE,FALSE,Regular,Gen 3,FALSE
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,0.8,12,18.8,FALSE,FALSE,Regular,Gen 3,TRUE
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,0.8,1.2,1.9,FALSE,FALSE,Regular,Gen 3,TRUE
295,Exploud,Normal,NA,490,104,91,63,91,73,68,1.5,84,37.3,FALSE,FALSE,Regular,Gen 3,FALSE
297,Hariyama,Fighting,NA,474,144,120,60,40,60,50,2.3,253.8,48,FALSE,FALSE,Regular,Gen 3,FALSE
301,Delcatty,Normal,NA,400,70,65,65,55,55,90,1.1,32.6,26.9,FALSE,FALSE,Regular,Gen 3,FALSE
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,0.5,11,44,FALSE,FALSE,Regular,Gen 3,TRUE
302,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,0.5,161,644,FALSE,FALSE,Regular,Gen 3,TRUE
303,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,1,23.5,23.5,FALSE,FALSE,Regular,Gen 3,TRUE
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,0.6,11.5,31.9,FALSE,FALSE,Regular,Gen 3,TRUE
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,2.1,360,81.6,FALSE,FALSE,Regular,Gen 3,TRUE
306,Mega Aggron,Steel,NA,630,70,140,230,60,80,50,2.2,395,81.6,FALSE,FALSE,Regular,Gen 3,FALSE
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,1.3,31.5,18.6,FALSE,FALSE,Regular,Gen 3,TRUE
308,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,1.3,31.5,18.6,FALSE,FALSE,Regular,Gen 3,TRUE
310,Mega Manectric,Electric,NA,575,70,75,80,135,80,135,1.8,44,13.6,FALSE,FALSE,Regular,Gen 3,FALSE
310,Manectric,Electric,NA,475,70,75,60,105,60,105,1.5,40.2,17.9,FALSE,FALSE,Regular,Gen 3,FALSE
311,Plusle,Electric,NA,405,60,50,40,85,75,95,0.4,4.2,26.3,FALSE,FALSE,Regular,Gen 3,FALSE
312,Minun,Electric,NA,405,60,40,50,75,85,95,0.4,4.2,26.3,FALSE,FALSE,Regular,Gen 3,FALSE
