name,type_1,type_2,role,offensive_rating,defensive_rating,tier
Mega Latias,Dragon,Psychic,Balanced,69.0266472380533,60.26238310396474,S
Regieleki,Electric,NA,Offensive,68.87015640346537,43.73156266519527,S
Mega Tyranitar,Rock,Dark,Balanced,68.70621725147564,63.21088403136188,S
Xerneas,Fairy,NA,Balanced,68.65790914653971,61.282701765852835,S
Yveltal,Dark,Flying,Balanced,68.65790914653971,61.229130337281404,S
Mega Gallade,Psychic,Fighting,Offensive,68.34112891375656,51.848938367968785,S
Ice Rider Calyrex,Psychic,Ice,Balanced,68.14618290156761,60.13862152068775,S
Deoxys Speed Forme,Psychic,NA,Offensive,68.11002330756303,44.84751194541576,S
HoopaHoopa Unbound,Psychic,Dark,Offensive,68.00668613242635,50.75518787620067,S
Deoxys Attack Forme,Psychic,NA,Offensive,67.72258099822031,34.867877618597845,S
Mega Heracross,Bug,Fighting,Offensive,67.60460489177214,55.787055176840454,S
Mega Sceptile,Grass,Dragon,Offensive,67.03843963460804,44.82951300531605,S
Mega Dragonite,Dragon,Flying,Balanced,66.84407129010955,59.042166059605556,S
Giratina Origin Forme,Ghost,Dragon,Balanced,66.80102816534105,66.7224188629454,SS
Deoxys Normal Forme,Psychic,NA,Offensive,66.63738552818582,38.948566639569194,S
Dialga Origin Forme,Steel,Dragon,Balanced,66.60124995621126,66.94206214799439,SS
Galarian Darmanitan Zen Mode,Ice,Fire,Offensive,66.4897540906799,45.72444112708419,S
Zygarde Complete Forme,Dragon,Ground,Balanced,66.35122507602507,72.46688441668442,SS
Kyurem,Dragon,Ice,Offensive,66.19063740143595,55.94539379460259,S
Lugia,Psychic,Flying,Balanced,66.08162323724287,62.827222648181205,S
Palkia,Water,Dragon,Offensive,66.0715054191524,56.13603701774122,S
Palafin Hero Form,Water,NA,Offensive,65.88112838043043,55.5867638997788,S
Kyogre,Water,NA,Balanced,65.70854325693762,59.59696015646837,S
Groudon,Ground,NA,Balanced,65.70854325693762,58.18267444218266,S
Terapagos Stellar Form,Normal,NA,Balanced,65.43217247247136,65.05571777744069,SS
Solgaleo,Psychic,Steel,Balanced,65.2769039774867,65.90683169550016,SS
Lunala,Psychic,Ghost,Balanced,65.2769039774867,58.963974552643016,S
Giratina Altered Forme,Ghost,Dragon,Balanced,65.15725167575135,70.0770780220341,SS
Kartana,Grass,Steel,Offensive,65.14056251313798,51.520852680545595,S
Mega Lopunny,Normal,Fighting,Offensive,65.12917175252404,48.926876361397625,S
Mega Gyarados,Water,Dark,Balanced,65.08619081145773,61.12965049664888,S
Dawn Wings Necrozma,Psychic,Ghost,Balanced,64.97339524518353,57.49181996531067,S
Dusk Mane Necrozma,Psychic,Steel,Balanced,64.97339524518353,64.4346771081678,S
Dialga,Steel,Dragon,Balanced,64.86813981427039,64.39629254693115,S
Reshiram,Dragon,Fire,Balanced,64.86813981427039,58.63200683264543,S
Zekrom,Dragon,Electric,Balanced,64.86813981427039,59.16772111835972,S
Roaring Moon,Dragon,Dark,Offensive,64.82698037087877,53.83258723159264,A
Mega Gardevoir,Psychic,Fairy,Offensive,64.75254511908534,50.14919300732254,A
Mega Lucario,Fighting,Steel,Offensive,64.64712415586725,52.61169021605362,A
Spectrier,Ghost,NA,Offensive,64.56822832833363,50.02379199671742,A
Mega Pinsir,Bug,Flying,Offensive,64.4135928899555,48.837797991660224,A
Zeraora,Electric,NA,Offensive,64.09531321609958,48.68941334033046,A
Mega Charizard Y,Fire,Flying,Offensive,63.86649411363766,53.18494382660991,A
Mega Charizard X,Fire,Dragon,Offensive,63.49881010165264,52.483255397717414,A
Flutter Mane,Ghost,Fairy,Offensive,63.35580694158638,47.47752525314725,A
Ho-oh,Fire,Flying,Balanced,63.2557231282873,61.241235197422625,S
Meloetta Pirouette Forme,Normal,Fighting,Offensive,63.19976762401171,50.59849118549614,A
Mega Hawlucha,Fighting,Flying,Offensive,63.08894457193338,50.58672465979201,A
Mega Beedrill,Bug,Poison,Offensive,62.03206109276758,41.37067549130285,A
Mega Aggron,Steel,NA,Balanced,61.922793691020104,63.91232575116217,S
Pheromosa,Bug,Fighting,Offensive,61.783615303677436,36.82812335324803,A
Mega Manectric,Electric,NA,Offensive,61.70135977804522,45.80637616351471,A
Darkrai,Dark,NA,Offensive,61.666372238562204,46.77407611177581,A
Mega Swampert,Water,Ground,Balanced,61.44845832819864,57.23161126224159,S
Iron Boulder,Rock,Psychic,Offensive,61.3912784818973,49.362759003992835,A
Mega Houndoom,Dark,Fire,Offensive,60.99022564492775,50.69003308278133,A
Dragapult,Dragon,Ghost,Offensive,60.91813752818329,49.24390840948817,A
Marshadow,Fighting,Ghost,Offensive,60.62381665347424,49.242345834916016,A
Mega Scizor,Bug,Steel,Balanced,60.32003317375921,57.66407805239399,S
Baxcalibur,Dragon,Ice,Offensive,60.18059275377122,51.55387906227598,A
Mega Blaziken,Fire,Fighting,Offensive,60.17572214909584,48.3370368809284,A
Mega Ampharos,Electric,Dragon,Balanced,60.08262425665038,53.74468462329337,A
Zarude,Dark,Grass,Balanced,59.996447399699406,53.25658847268842,A
Mega Kangaskhan,Normal,NA,Balanced,59.950704724957276,52.38051643061854,A
Mega Pidgeot,Normal,Flying,Offensive,59.75767049815943,46.8495133175395,A
Iron Leaves,Grass,Psychic,Offensive,59.68283413719088,49.524215557771974,A
Garchomp,Dragon,Ground,Offensive,59.62661376410807,51.046220512327174,A
Iron Valiant,Fairy,Fighting,Offensive,59.576150127038616,44.15697929219454,A
Latios,Dragon,Psychic,Offensive,59.05326978376169,48.890774961682446,A
Landorus Incarnate Forme,Ground,Flying,Offensive,58.91789071141251,48.97144430745746,A
Iron Moth,Fire,Poison,Offensive,58.91083309445385,48.24860398348375,A
Mega Steelix,Steel,Ground,Balanced,58.75783700127545,62.39409378432326,S
Iron Bundle,Ice,Water,Offensive,58.73046453350067,40.263308957114816,A
Nihilego,Rock,Poison,Offensive,58.710787982294406,50.480220890111,A
Terrakion,Rock,Fighting,Offensive,58.54635307816969,48.735800347779616,A
Keldeo Ordinary Form,Water,Fighting,Offensive,58.54635307816969,50.88937177635104,A
Keldeo Resolute Form,Water,Fighting,Offensive,58.54635307816969,50.88937177635104,A
Shaymin Sky Forme,Grass,Flying,Offensive,58.525213339697345,44.29556986066069,A
Wishiwashi School Form,Water,NA,Offensive,58.45229859122098,48.50601097141333,A
Genesect,Bug,Steel,Balanced,58.41139866085527,52.32450540925775,A
Melmetal,Steel,NA,Balanced,58.31036893589824,62.9487930920397,S
Iron Hands,Fighting,Electric,Balanced,58.186991890341844,57.05400285853211,S
Tornadus Therian Forme,Flying,NA,Offensive,58.126705295860646,46.11780462523881,A
Walking Wake,Water,Dragon,Offensive,58.12151901949826,48.649821326684624,A
Mew,Psychic,NA,Offensive,58.01672218661542,50.25988985559219,A
Celebi,Psychic,Grass,Balanced,58.01672218661542,50.517032712735045,A
Jirachi,Steel,Psychic,Balanced,58.01672218661542,57.47060414130648,S
Manaphy,Water,NA,Balanced,58.01672218661542,52.7991755698779,A
Shaymin Land Forme,Grass,NA,Balanced,58.01672218661542,51.031318427020764,A
Victini,Psychic,Fire,Balanced,58.01672218661542,53.95631842702076,A
Azelf,Psychic,NA,Offensive,57.97807562311674,40.96517317313907,A
Meloetta Aria Forme,Normal,Psychic,Balanced,57.963819424753694,51.48839802216365,A
Latias,Dragon,Psychic,Balanced,57.766108394363144,50.71863737278578,A
Mega Blastoise,Water,NA,Balanced,57.69441320545641,53.256013462298775,A
Glastrier,Ice,NA,Balanced,57.666314799443455,50.83307927309818,A
Iron Crown,Steel,Psychic,Balanced,57.597363062888896,56.62363164646466,S
Raging Bolt,Electric,Dragon,Balanced,57.30085222988118,54.8381579781382,A
Tornadus Incarnate Forme,Flying,NA,Offensive,57.28802769890143,44.15106646012683,A
Thundurus Incarnate Forme,Electric,Flying,Offensive,57.28802769890143,46.69035217441254,A
Great Tusk,Ground,Fighting,Balanced,57.153580234500005,50.94037036291387,A
Buzzwole,Bug,Fighting,Balanced,57.10506273611041,50.642576315631445,A
Chien-Pao,Dark,Ice,Offensive,56.920202713911934,39.71600754364587,A
Gouging Fire,Fire,Dragon,Balanced,56.8443668871267,54.491393178115445,A
Xurkitree,Electric,NA,Offensive,56.72255400118637,44.566417601676775,A
Darmanitan Zen Mode,Fire,Psychic,Balanced,56.50807232163972,54.38110843431787,A
Landorus Therian Forme,Ground,Flying,Offensive,56.390093427853685,47.81971539996701,A
Ursaluna,Ground,Normal,Balanced,56.035543404473515,52.6413107809237,A
Terapagos Terastal Form,Normal,NA,Balanced,55.902541404946774,51.079815080565965,A
Raikou,Electric,NA,Offensive,55.85544124217861,46.86251691367693,A
Mega Venusaur,Grass,Poison,Balanced,55.81300865111255,52.77581981891843,A
Kommo-o,Dragon,Fighting,Balanced,55.78710026291208,50.91096392284507,A
Cobalion,Steel,Fighting,Balanced,55.77997115278203,53.885748836705204,A
Virizion,Grass,Fighting,Offensive,55.77997115278203,48.05717740813378,A
Mega Glalie,Ice,NA,Offensive,55.77861093859508,40.99270344820541,A
Salamence,Dragon,Flying,Offensive,55.67350673982462,46.409592556525354,A
Volcarona,Bug,Fire,Offensive,55.52379485109404,46.25003071588877,A
Mega Abomasnow,Grass,Ice,Offensive,55.43883233448635,45.03857495749358,A
Mega Slowbro,Water,Psychic,Balanced,55.43834423448361,54.123577965639726,A
Pecharunt,Poison,Ghost,Balanced,55.413856439841076,54.69590688180375,A
Goodra,Dragon,NA,Balanced,55.20671524344499,51.103068533621425,A
Iron Jugulis,Dark,Flying,Offensive,55.10870920254919,46.86325344527472,A
Chi-Yu,Dark,Fire,Offensive,55.10063707154259,46.52882816911157,A
Heatran,Fire,Steel,Balanced,55.10036614607969,54.892072498866504,A
Galarian Zapdos,Fighting,Flying,Offensive,55.09278180993009,47.05003547283913,A
Haxorus,Dragon,NA,Offensive,55.087171786472,43.64258346758574,A
Hisuian Goodra,Steel,Dragon,Balanced,55.0481792752273,58.138979605805574,S
Tyranitar,Rock,Dark,Balanced,55.00182739124395,50.71761888917763,A
Ogerpon Teal Mask,Grass,NA,Offensive,54.96956873338593,44.308217820147874,B
Ogerpon Wellspring Mask,Grass,Water,Offensive,54.96956873338593,44.361789248719305,B
Ogerpon Hearthflame Mask,Grass,Fire,Offensive,54.96956873338593,45.3367892487193,A
Ogerpon Cornerstone Mask,Grass,Rock,Offensive,54.96956873338593,42.94750353443359,B
Stakataka,Rock,Steel,Balanced,54.90628575566875,53.184800506196865,A
Hydreigon,Dark,Dragon,Balanced,54.84198129213442,48.05086270568577,A
Metagross,Steel,Psychic,Balanced,54.8038168078172,54.6725240524181,A
Mega Victreebel,Grass,Poison,Offensive,54.80169760990728,46.17382412082071,A
Zygarde 50% Forme,Dragon,Ground,Balanced,54.78886832116967,52.039570396871746,A
Tapu Koko,Electric,Fairy,Offensive,54.71667176804878,44.26470484571649,B
Thundurus Therian Forme,Electric,Flying,Offensive,54.654142120036454,45.43253497161593,A
Iron Treads,Ground,Steel,Balanced,54.61745063142256,52.85665522725371,A
Sneasler,Fighting,Poison,Offensive,54.571817610002,41.72922947266997,B
HoopaHoopa Confined,Psychic,Ghost,Offensive,54.490130119667214,44.515097064906726,B
Galarian Articuno,Psychic,Flying,Offensive,54.40038476190916,46.27980625511438,A
Zapdos,Electric,Flying,Balanced,54.355033402948465,49.027762701084235,A
Iron Thorns,Rock,Electric,Balanced,54.299485018703976,48.68333988561245,A
Munkidori,Poison,Psychic,Offensive,54.258828474465176,43.79758628793452,B
Dragonite,Dragon,Flying,Balanced,54.23008502995278,49.03843223829999,A
Scream Tail,Fairy,Psychic,Balanced,54.17546315574775,52.189206621074675,A
Magearna,Steel,Fairy,Balanced,54.17408532303595,57.40375073844575,S
Urshifu Single Strike Style,Fighting,Dark,Offensive,54.15626801819343,44.6468024861492,B
Urshifu Rapid Strike Style,Fighting,Water,Balanced,54.15626801819343,47.67894534329206,A
Mega Altaria,Dragon,Fairy,Balanced,54.002695481516255,51.789974114280405,A
Ting-Lu,Dark,Ground,Balanced,53.95358600150262,57.52773795190869,S
Diancie,Rock,Fairy,Balanced,53.933111144603615,49.84403543113473,A
Naganadel,Poison,Dragon,Offensive,53.80710871345207,42.65457166229619,B
Sandy Shocks,Electric,Ground,Offensive,53.77082745156358,46.46631237541552,A
Mega Malamar,Dark,Psychic,Offensive,53.7271337507684,45.32994330850511,A
Deoxys Defense Forme,Psychic,NA,Balanced,53.53101359262711,49.70684809410889,A
Entei,Fire,NA,Balanced,53.30560567318517,49.3685438455231,A
Tapu Lele,Psychic,Fairy,Offensive,53.25712295007732,43.38811941243554,B
Regirock,Rock,NA,Balanced,53.253405093318946,52.94720923495656,A
Regice,Ice,NA,Balanced,53.253405093318946,50.611494949242285,A
Mega Absol,Dark,NA,Offensive,53.2027409178461,36.26554242596316,B
Gholdengo,Steel,Ghost,Balanced,53.142967938236495,54.29665590939141,A
Weavile,Dark,Ice,Offensive,53.10142983419507,36.944675182048606,B
Uxie,Psychic,NA,Balanced,53.04169441574757,49.16747107981311,A
Okidogi,Poison,Fighting,Balanced,52.97081752558002,48.79331016951494,A
Silvally,Normal,NA,Balanced,52.926610374076994,46.1757809627278,A
Archaludon,Steel,Dragon,Balanced,52.90687305249352,53.872334509026956,A
Kingambit,Dark,Steel,Balanced,52.88519464677805,54.764219642214535,A
Regidrago,Dragon,NA,Balanced,52.578515211986,49.74604185532175,A
Mesprit,Psychic,NA,Balanced,52.46884094046323,45.77609079339274,A
Enamorus Incarnate Forme,Fairy,Flying,Offensive,52.44579370240605,41.383028090789935,B
Cresselia,Psychic,NA,Balanced,52.412526696121176,53.49656138469787,A
Necrozma,Psychic,NA,Balanced,52.39536995206811,46.22605778885372,A
Brute Bonnet,Grass,Dark,Balanced,52.21843055493889,49.193644169991636,A
Bloodmoon Ursaluna,Ground,Normal,Balanced,52.19136861383073,47.81808131042843,A
Slither Wing,Bug,Fighting,Offensive,52.19093083651693,44.8876671975102,B
Mega Banette,Ghost,NA,Offensive,52.09700122192806,41.382940733285594,B
Archeops,Rock,Flying,Offensive,52.072519226893476,39.494275080293775,B
Volcanion,Fire,Water,Balanced,52.03580372371134,47.46048989378168,A
Rhyperior,Ground,Rock,Offensive,51.92785647370425,44.884839921032494,B
Cinderace,Fire,NA,Offensive,51.86002554141654,42.51297131984778,B
Alakazam,Psychic,NA,Offensive,51.784259093189014,34.408922819642505,B
Jolteon,Electric,NA,Offensive,51.636149108056614,38.724199362160874,B
Togekiss,Fairy,Flying,Balanced,51.62721320139417,48.699085825020255,A
Moltres,Fire,Flying,Balanced,51.46717102470603,46.4270798100213,A
Espeon,Psychic,NA,Offensive,51.43956791147542,37.126183489145006,B
Annihilape,Fighting,Ghost,Balanced,51.164149562095886,47.41796578724973,A
Tapu Bulu,Grass,Fairy,Balanced,51.160748312357555,45.81910437804,A
Celesteela,Steel,Flying,Balanced,51.142119234646486,54.42514719389999,A
Guzzlord,Dark,Dragon,Balanced,51.08262198958427,50.97725628062484,A
Blacephalon,Fire,Ghost,Offensive,50.98094306840365,39.42808530546671,B
Registeel,Steel,NA,Defensive,50.932328968942805,60.42424006182483,S
Arcanine,Fire,NA,Balanced,50.87423988559712,44.91801291495271,B
Mega Sharpedo,Water,Dark,Offensive,50.53957811491061,39.5608155121455,B
Galarian Moltres,Dark,Flying,Balanced,50.50800250572924,48.743366363483844,A
Aerodactyl,Rock,Flying,Offensive,50.36989808228172,39.258576826633075,B
Greninja,Water,Dark,Offensive,50.306594224421076,39.34495264619354,B
Gyarados,Water,Flying,Balanced,50.276906265640406,46.93415264189066,A
Suicune,Water,NA,Balanced,50.18878525946459,51.7012256978355,A
Crobat,Poison,Flying,Offensive,50.09208022015946,41.73053679916623,B
Noivern,Flying,Dragon,Offensive,50.02327680135605,40.93926695789639,B
Chandelure,Ghost,Fire,Balanced,49.93235205372687,44.593150384962115,B
Glimmora,Rock,Poison,Offensive,49.91546161333758,42.74016079736758,B
Inteleon,Water,NA,Offensive,49.892865341661945,36.90935721102196,B
Hisuian Avalugg,Ice,Rock,Offensive,49.575361934069875,40.50904979668303,B
Barraskewda,Water,NA,Offensive,49.453316283925574,33.37292392965817,B
Delphox,Fire,Psychic,Offensive,49.44577553753599,42.63103235438663,B
Blissey,Normal,NA,Balanced,49.35433756254865,49.819834105770354,A
Galarian Darmanitan Standard Mode,Ice,NA,Offensive,49.32527825918402,35.24161975224276,B
Darmanitan Standard Mode,Fire,NA,Offensive,49.32527825918402,40.70590546652848,B
Rillaboom,Grass,NA,Offensive,49.292674628099114,42.37920211160299,B
Articuno,Ice,Flying,Balanced,49.20375080448548,45.7538931360424,A
Infernape,Fire,Fighting,Offensive,49.169305658740036,39.271622559293526,B
Florges,Fairy,NA,Balanced,49.112281635918954,46.41636977756416,A
Excadrill,Ground,Steel,Balanced,49.071938690609244,46.36056671918654,A
Fezandipiti,Poison,Fairy,Balanced,49.05929896346447,47.57566961983028,A
Meowscarada,Grass,Dark,Offensive,49.05483309274382,36.73318229752347,B
Tapu Fini,Water,Fairy,Balanced,48.81424371513809,49.970864778652825,A
Porygon-Z,Normal,NA,Offensive,48.73633879743921,38.168021005944325,B
Enamorus Therian Forme,Fairy,Flying,Balanced,48.632135025625935,43.687367742643865,B
Ceruledge,Fire,Ghost,Balanced,48.2371006141997,45.39334120805002,A
Cetitan,Ice,NA,Balanced,48.22538584665162,42.89197234034482,B
Serperior,Grass,NA,Offensive,48.091238437582575,40.27122273689336,B
Golisopod,Bug,Water,Balanced,48.058443480987634,45.03174638762592,A
Magnezone,Electric,Steel,Balanced,47.98732813620981,48.47834775518693,A
Glaceon,Ice,NA,Offensive,47.94071777544404,38.10564257586011,B
Kleavor,Bug,Rock,Offensive,47.87602902392541,37.34756945767672,B
Snorlax,Normal,NA,Balanced,47.874283084492504,48.06883753517884,A
Mamoswine,Ice,Ground,Offensive,47.681091782348666,38.90986139022042,B
Armarouge,Fire,Psychic,Balanced,47.648320858202595,44.22027346611289,B
TaurosBlaze Breed,Fighting,Fire,Offensive,47.56907294589304,41.30919141680329,B
TaurosAqua Breed,Fighting,Water,Balanced,47.56907294589304,41.84490570251758,B
TaurosCombat Breed,Fighting,NA,Offensive,47.56907294589304,39.123477131089004,B
Heracross,Bug,Fighting,Offensive,47.50528709256858,39.94974397420143,B
Gengar,Ghost,Poison,Offensive,47.47318333947611,35.78460779346639,B
Leafeon,Grass,NA,Offensive,47.45099785322584,39.191878882103296,B
Electrode,Electric,NA,Offensive,47.34131061290296,34.46390569994359,B
Hisuian Electrode,Electric,Grass,Offensive,47.34131061290296,33.521048557086445,B
Sceptile,Grass,NA,Offensive,47.28430250034579,35.26280425845573,B
Conkeldurr,Fighting,NA,Offensive,47.19754891733246,40.34691117604536,B
Rampardos,Rock,NA,Offensive,47.13084793872771,34.81519340600957,B
Hisuian Arcanine,Fire,Rock,Balanced,47.07949103958552,41.06426427997368,B
Milotic,Water,NA,Balanced,47.06290247919593,46.45829622627144,A
Gigalith,Rock,NA,Balanced,47.05317987825547,41.186575805399855,B
Accelgor,Bug,NA,Offensive,47.01814112527939,31.039870292919744,B
Cryogonal,Ice,NA,Offensive,47.009678231809005,37.05883482867042,B
Wo-Chien,Dark,Grass,Balanced,46.885847666043844,46.32084489412823,A
Avalugg,Ice,NA,Offensive,46.845953593288336,40.653184883226785,B
Kingdra,Water,Dragon,Balanced,46.66906939116818,40.83934673077201,B
Krookodile,Ground,Dark,Balanced,46.63015862635011,40.58161387151079,B
Hisuian Typhlosion,Fire,Ghost,Balanced,46.452399952665544,42.194154145216494,B
Hydrapple,Grass,Dragon,Balanced,46.34012357827996,40.51415096710798,B
Electivire,Electric,NA,Offensive,46.18469564970914,37.618314584846885,B
Primarina,Water,Fairy,Balanced,46.16588562048196,44.03789097943928,B
Tauros,Normal,NA,Offensive,46.08885688786077,36.401825597841125,B
Tsareena,Grass,NA,Offensive,46.02273659308307,39.84652610324348,B
Charizard,Fire,Flying,Balanced,45.91258072450834,39.981153178863636,B
Typhlosion,Fire,NA,Balanced,45.91258072450834,40.44186746457792,B
Aggron,Steel,Rock,Balanced,45.83253257178531,44.60795623067011,B
Starmie,Water,Psychic,Offensive,45.81955036919514,36.96704359710101,B
Mega Camerupt,Fire,Ground,Balanced,45.73084934695103,40.24983841391366,B
Gliscor,Ground,Flying,Balanced,45.70105345803929,41.86591082516664,B
Braviary,Normal,Flying,Balanced,45.63024438339677,40.82129687505609,B
Roserade,Grass,Poison,Offensive,45.536726333835645,36.977383597299166,B
Gardevoir,Psychic,Fairy,Offensive,45.48808341772957,37.92209745683171,B
Gallade,Psychic,Fighting,Offensive,45.48808341772957,36.94709745683171,B
Lapras,Water,Ice,Balanced,45.485342842853434,43.307465444858934,B
Lycanroc Midday Form,Rock,NA,Offensive,45.46436806834758,33.26646580208975,B
Lycanroc Dusk Form,Rock,NA,Offensive,45.44470994868946,33.322021357645305,B
Lucario,Fighting,Steel,Balanced,45.419988687225,40.19466190729469,B
Tangrowth,Grass,NA,Balanced,45.390555146673535,39.54656968334494,B
Talonflame,Fire,Flying,Offensive,45.38215627899779,36.668766204575334,B
Mega Audino,Normal,Fairy,Balanced,45.29847720729435,50.57594181370901,A
Minior Core Form,Rock,Flying,Offensive,45.27636900406658,32.44216577515462,B
Vaporeon,Water,NA,Balanced,45.240916368175206,44.195649355016215,B
Revavroom,Steel,Poison,Balanced,45.17848584991765,42.87945976005599,B
Hisuian Samurott,Water,Dark,Balanced,45.13262697575533,40.19148341653202,B
Pyroar,Fire,Normal,Offensive,45.049094180086136,38.8932049814,B
Staraptor,Normal,Flying,Offensive,44.981521908626675,35.98374351085012,B
Blaziken,Fire,Fighting,Offensive,44.97623560326579,37.93454869203198,B
Gogoat,Grass,NA,Balanced,44.97419267260098,40.35017554143616,B
Dondozo,Water,NA,Balanced,44.95098754919327,47.92978027891564,A
Ninjask,Bug,Flying,Offensive,44.93052611087638,25.396079995400672,C
Pinsir,Bug,NA,Offensive,44.91788018888873,36.26564370615618,B
Tyrantrum,Rock,Dragon,Offensive,44.90106665525655,38.72097025658789,B
Polteageist,Ghost,NA,Offensive,44.90022032203561,37.79719676199704,B
Sylveon,Fairy,NA,Balanced,44.88365869244389,43.224310959783246,B
Scizor,Bug,Steel,Balanced,44.851115295101096,42.99998828240983,B
Hippowdon,Ground,NA,Balanced,44.82988044236369,42.533829006222845,B
Basculegion(female),Water,Ghost,Balanced,44.773743570400725,44.855800148466216,B
Magmortar,Fire,NA,Balanced,44.76171868276373,39.75574127139977,B
Passimian,Fighting,NA,Offensive,44.72439422183871,38.85600179577975,B
Stonjourner,Rock,NA,Offensive,44.7073585605636,36.56078344860358,B
Durant,Bug,Steel,Balanced,44.615033761145554,38.99263974905679,B
Bewear,Normal,Fighting,Balanced,44.61161224124752,39.78141440643385,B
Decidueye,Grass,Ghost,Balanced,44.580183413399226,39.984119894835345,B
Obstagoon,Dark,Normal,Balanced,44.56117010528107,39.63606601284136,B
Quaquaval,Water,Fighting,Balanced,44.52029105548432,40.03560463285601,B
Mudsdale,Ground,NA,Balanced,44.46165069237412,40.33431546368749,B
Mabosstiff,Dark,NA,Offensive,44.45959548662975,37.22139378600917,B
Samurott,Water,NA,Balanced,44.45229193180592,39.7527439733351,B
Sirfetch'd,Fighting,NA,Offensive,44.44457251667517,35.68192540956323,B
Yanmega,Bug,Flying,Offensive,44.395727533090735,34.028883692563696,C
Vikavolt,Bug,Electric,Offensive,44.38482877130588,37.077606357811845,B
Skeledirge,Fire,Ghost,Balanced,44.2993835304317,45.86775793547227,A
Machamp,Fighting,NA,Offensive,44.250418472511,37.7123640004026,B
Sinistcha,Grass,Ghost,Balanced,44.199522979351585,39.79048474094108,B
Stoutland,Normal,NA,Balanced,44.1632762014753,39.01893301525108,B
Blastoise,Water,NA,Balanced,44.134520606147575,42.57483303631588,B
Kilowattrel,Electric,Flying,Offensive,44.09207667979044,34.415161313214895,C
Wyrdeer,Normal,Psychic,Offensive,44.03612134912656,37.6674665275752,B
Incineroar,Fire,Dark,Balanced,44.0335566012872,43.423023718946105,B
Overqwil,Dark,Poison,Balanced,43.85054460725756,40.55265058598073,B
Basculegion(male),Water,Ghost,Balanced,43.849391264727565,44.2870033983486,B
Chesnaught,Grass,Fighting,Balanced,43.84909881146706,40.37379624643219,B
Heat Rotom,Electric,Fire,Balanced,43.76524293171333,40.55717234157561,B
Wash Rotom,Electric,Water,Balanced,43.76524293171333,39.50717234157561,B
Frost Rotom,Electric,Ice,Offensive,43.76524293171333,36.52860091300418,B
Fan Rotom,Electric,Flying,Balanced,43.76524293171333,40.78217234157561,B
Mow Rotom,Electric,Grass,Offensive,43.76524293171333,37.353600913004186,B
Escavalier,Bug,Steel,Balanced,43.64449161096067,42.776556386120134,B
Boltund,Electric,NA,Offensive,43.613980792237484,31.666254221845882,C
Arboliva,Grass,Normal,Balanced,43.53781076831844,38.369859124977665,B
Beartic,Ice,NA,Offensive,43.476356988666126,34.61461008253414,C
Sawk,Fighting,NA,Offensive,43.475347000519534,34.96823191260957,C
Swampert,Water,Ground,Balanced,43.455700605943335,42.282631483602415,B
