dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1.4,39.2,20,FALSE,FALSE,Regular,Gen 1
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1.8,85.2,26.3,FALSE,FALSE,Regular,Gen 1
86,Seel,Water,NA,325,65,45,55,45,70,45,1.1,90,74.4,FALSE,FALSE,Regular,Gen 1
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1.7,120,41.5,FALSE,FALSE,Regular,Gen 1
88,Grimer,Poison,NA,325,80,80,50,40,50,25,0.9,30,37,FALSE,FALSE,Regular,Gen 1
88,Alolan Grimer,Poison,Dark,325,80,80,50,40,50,25,0.7,42,85.7,FALSE,FALSE,Regular,Gen 1
89,Muk,Poison,NA,500,105,105,75,65,100,50,1.2,30,20.8,FALSE,FALSE,Regular,Gen 1
89,Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,1,52,52,FALSE,FALSE,Regular,Gen 1
90,Shellder,Water,NA,305,30,65,100,45,25,40,0.3,4,44.4,FALSE,FALSE,Regular,Gen 1
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1.5,132.5,58.9,FALSE,FALSE,Regular,Gen 1
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1.3,0.1,0.1,FALSE,FALSE,Regular,Gen 1
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1.6,0.1,0,FALSE,FALSE,Regular,Gen 1
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1.5,40.5,18,FALSE,FALSE,Regular,Gen 1
94,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1.4,40.5,20.7,FALSE,FALSE,Regular,Gen 1
95,Onix,Rock,Ground,385,35,45,160,30,45,70,8.8,210,2.7,FALSE,FALSE,Regular,Gen 1
96,Drowzee,Psychic,NA,328,60,48,45,43,90,42,1,32.4,32.4,FALSE,FALSE,Regular,Gen 1
97,Hypno,Psychic,NA,483,85,73,70,73,115,67,1.6,75.6,29.5,FALSE,FALSE,Regular,Gen 1
98,Krabby,Water,NA,325,30,105,90,25,25,50,0.4,6.5,40.6,FALSE,FALSE,Regular,Gen 1
99,Kingler,Water,NA,475,55,130,115,50,50,75,1.3,60,35.5,FALSE,FALSE,Regular,Gen 1
100,Voltorb,Electric,NA,330,40,30,50,55,55,100,0.5,10.4,41.6,FALSE,FALSE,Regular,Gen 1
100,Hisuian Voltorb,Electric,Grass,330,40,30,50,55,55,100,0.5,13,52,FALSE,FALSE,Regular,Gen 1
101,Electrode,Electric,NA,490,60,50,70,80,80,150,1.2,66.6,46.3,FALSE,FALSE,Regular,Gen 1
101,Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,1.2,71,49.3,FALSE,FALSE,Regular,Gen 1
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,0.4,2.5,15.6,FALSE,FALSE,Regular,Gen 1
103,Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,10.9,415.6,3.5,FALSE,FALSE,Regular,Gen 1
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,2,120,30,FALSE,FALSE,Regular,Gen 1
104,Cubone,Ground,NA,320,50,50,95,40,50,35,0.4,6.5,40.6,FALSE,FALSE,Regular,Gen 1
105,Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,1,34,34,FALSE,FALSE,Regular,Gen 1
105,Marowak,Ground,NA,425,60,80,110,50,80,45,1,45,45,FALSE,FALSE,Regular,Gen 1
106,Hitmonlee,Fighting,NA,455,50,120,53,35,110,87,1.5,49.8,22.1,FALSE,FALSE,Regular,Gen 1
107,Hitmonchan,Fighting,NA,455,50,105,79,35,110,76,1.4,50.2,25.6,FALSE,FALSE,Regular,Gen 1
108,Lickitung,Normal,NA,385,90,55,75,60,75,30,1.2,65.5,45.5,FALSE,FALSE,Regular,Gen 1
109,Koffing,Poison,NA,340,40,65,95,60,45,35,0.6,1,2.8,FALSE,FALSE,Regular,Gen 1
110,Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60,3,16,1.8,FALSE,FALSE,Regular,Gen 1
110,Weezing,Poison,NA,490,65,90,120,85,70,60,1.2,9.5,6.6,FALSE,FALSE,Regular,Gen 1
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,115,115,FALSE,FALSE,Regular,Gen 1
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1.9,120,33.2,FALSE,FALSE,Regular,Gen 1
113,Chansey,Normal,NA,450,250,5,5,35,105,50,1.1,34.6,28.6,FALSE,FALSE,Regular,Gen 1
114,Tangela,Grass,NA,435,65,55,115,100,40,60,1,35,35,FALSE,FALSE,Regular,Gen 1
115,Kangaskhan,Normal,NA,490,105,95,80,40,80,90,2.2,80,16.5,FALSE,FALSE,Regular,Gen 1
115,Mega Kangaskhan,Normal,NA,590,105,125,100,60,100,100,2.2,100,20.7,FALSE,FALSE,Regular,Gen 1
116,Horsea,Water,NA,295,30,40,70,70,25,60,0.4,8,50,FALSE,FALSE,Regular,Gen 1
117,Seadra,Water,NA,440,55,65,95,95,45,85,1.2,25,17.4,FALSE,FALSE,Regular,Gen 1
118,Goldeen,Water,NA,320,45,67,60,35,50,63,0.6,15,41.7,FALSE,FALSE,Regular,Gen 1
119,Seaking,Water,NA,450,80,92,65,65,80,68,1.3,39,23.1,FALSE,FALSE,Regular,Gen 1
120,Staryu,Water,NA,340,30,45,55,70,55,85,0.8,34.5,53.9,FALSE,FALSE,Regular,Gen 1
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1.1,80,66.1,FALSE,FALSE,Regular,Gen 1
122,Mr. MimeGalarian Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100,1.4,56.8,29,FALSE,FALSE,Regular,Gen 1
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1.3,54.5,32.2,FALSE,FALSE,Regular,Gen 1
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1.5,56,24.9,FALSE,FALSE,Regular,Gen 1
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1.4,40.6,20.7,FALSE,FALSE,Regular,Gen 1
125,Electabuzz,Electric,NA,490,65,83,57,95,85,105,1.1,30,24.8,FALSE,FALSE,Regular,Gen 1
126,Magmar,Fire,NA,495,65,95,57,100,85,93,1.3,44.5,26.3,FALSE,FALSE,Regular,Gen 1
127,Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1.7,59,20.4,FALSE,FALSE,Regular,Gen 1
127,Pinsir,Bug,NA,500,65,125,100,55,70,85,1.5,55,24.4,FALSE,FALSE,Regular,Gen 1
128,TaurosBlaze Breed,Fighting,Fire,490,75,110,105,30,70,100,1.4,85,43.4,FALSE,FALSE,Regular,Gen 1
128,Tauros,Normal,NA,490,75,100,95,40,70,110,1.4,88.4,45.1,FALSE,FALSE,Regular,Gen 1
128,TaurosAqua Breed,Fighting,Water,490,75,110,105,30,70,100,1.4,110,56.1,FALSE,FALSE,Regular,Gen 1
128,TaurosCombat Breed,Fighting,NA,490,75,110,105,30,70,100,1.4,115,58.7,FALSE,FALSE,Regular,Gen 1
129,Magikarp,Water,NA,200,20,10,55,15,20,80,0.9,10,12.3,FALSE,FALSE,Regular,Gen 1
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,6.5,235,5.6,FALSE,FALSE,Regular,Gen 1
130,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,6.5,305,7.2,FALSE,FALSE,Regular,Gen 1
131,Lapras,Water,Ice,535,130,85,80,85,95,60,2.5,220,35.2,FALSE,FALSE,Regular,Gen 1
132,Ditto,Normal,NA,288,48,48,48,48,48,48,0.3,4,44.4,FALSE,FALSE,Regular,Gen 1
133,Eevee,Normal,NA,325,55,55,50,45,65,55,0.3,6.5,72.2,FALSE,FALSE,Regular,Gen 1
133,Partner Eevee,Normal,NA,435,65,75,70,65,85,75,0.3,6.5,72.2,FALSE,FALSE,Regular,Gen 1
134,Vaporeon,Water,NA,525,130,65,60,110,95,65,1,29,29,FALSE,FALSE,Regular,Gen 1
135,Jolteon,Electric,NA,525,65,65,60,110,95,130,0.8,24.5,38.3,FALSE,FALSE,Regular,Gen 1
136,Flareon,Fire,NA,525,65,130,60,95,110,65,0.9,25,30.9,FALSE,FALSE,Regular,Gen 1
137,Porygon,Normal,NA,395,65,60,70,85,75,40,0.8,36.5,57,FALSE,FALSE,Regular,Gen 1
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,0.4,7.5,46.9,FALSE,FALSE,Regular,Gen 1
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,35,35,FALSE,FALSE,Regular,Gen 1
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,0.5,11.5,46,FALSE,FALSE,Regular,Gen 1
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1.3,40.5,24,FALSE,FALSE,Regular,Gen 1
142,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,2.1,79,17.9,FALSE,FALSE,Regular,Gen 1
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1.8,59,18.2,FALSE,FALSE,Regular,Gen 1
143,Snorlax,Normal,NA,540,160,110,65,65,110,30,2.1,460,104.3,FALSE,FALSE,Regular,Gen 1
144,Galarian Articuno,Psychic,Flying,580,90,85,85,125,100,95,1.7,50.9,17.6,TRUE,TRUE,Legendary,Gen 1
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1.7,55.4,19.2,TRUE,TRUE,Legendary,Gen 1
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1.6,52.6,20.5,TRUE,TRUE,Legendary,Gen 1
145,Galarian Zapdos,Fighting,Flying,580,90,125,90,85,90,100,1.6,58.2,22.7,TRUE,TRUE,Legendary,Gen 1
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,2,60,15,TRUE,TRUE,Legendary,Gen 1
146,Galarian Moltres,Dark,Flying,580,90,85,90,100,125,90,2,66,16.5,TRUE,TRUE,Legendary,Gen 1
147,Dratini,Dragon,NA,300,41,64,45,50,50,50,1.8,3.3,1,FALSE,FALSE,Regular,Gen 1
148,Dragonair,Dragon,NA,420,61,84,65,70,70,70,4,16.5,1,FALSE,FALSE,Regular,Gen 1
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,2.2,210,43.4,FALSE,FALSE,Regular,Gen 1
149,Mega Dragonite,Dragon,Flying,700,91,124,115,145,125,100,2.2,290,59.9,FALSE,FALSE,Regular,Gen 1
150,Mega Mewtwo Y,Psychic,NA,780,106,150,70,194,120,140,1.5,33,14.7,TRUE,TRUE,Legendary,Gen 1
150,Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,2.3,127,24,TRUE,TRUE,Legendary,Gen 1
150,Mewtwo,Psychic,NA,680,106,110,90,154,90,130,2,122,30.5,TRUE,TRUE,Legendary,Gen 1
151,Mew,Psychic,NA,600,100,100,100,100,100,100,0.4,4,25,FALSE,TRUE,Mythical,Gen 1
152,Chikorita,Grass,NA,318,45,49,65,49,65,45,0.9,6.4,7.9,FALSE,FALSE,Regular,Gen 2
153,Bayleef,Grass,NA,405,60,62,80,63,80,60,1.2,15.8,11,FALSE,FALSE,Regular,Gen 2
154,Meganium,Grass,NA,525,80,82,100,83,100,80,1.8,100.5,31,FALSE,FALSE,Regular,Gen 2
155,Cyndaquil,Fire,NA,309,39,52,43,60,50,65,0.5,7.9,31.6,FALSE,FALSE,Regular,Gen 2
156,Quilava,Fire,NA,405,58,64,58,80,65,80,0.9,19,23.5,FALSE,FALSE,Regular,Gen 2
157,Hisuian Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,1.6,69.8,27.3,FALSE,FALSE,Regular,Gen 2
157,Typhlosion,Fire,NA,534,78,84,78,109,85,100,1.7,79.5,27.5,FALSE,FALSE,Regular,Gen 2
158,Totodile,Water,NA,314,50,65,64,44,48,43,0.6,9.5,26.4,FALSE,FALSE,Regular,Gen 2
159,Croconaw,Water,NA,405,65,80,80,59,63,58,1.1,25,20.7,FALSE,FALSE,Regular,Gen 2
160,Feraligatr,Water,NA,530,85,105,100,79,83,78,2.3,88.8,16.8,FALSE,FALSE,Regular,Gen 2
161,Sentret,Normal,NA,215,35,46,34,35,45,20,0.8,6,9.4,FALSE,FALSE,Regular,Gen 2
162,Furret,Normal,NA,415,85,76,64,45,55,90,1.8,32.5,10,FALSE,FALSE,Regular,Gen 2
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,0.7,21.2,43.3,FALSE,FALSE,Regular,Gen 2
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,1.6,40.8,15.9,FALSE,FALSE,Regular,Gen 2
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,1,10.8,10.8,FALSE,FALSE,Regular,Gen 2
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,1.4,35.6,18.2,FALSE,FALSE,Regular,Gen 2
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,0.5,8.5,34,FALSE,FALSE,Regular,Gen 2
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,1.1,33.5,27.7,FALSE,FALSE,Regular,Gen 2
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,1.8,75,23.1,FALSE,FALSE,Regular,Gen 2
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,0.5,12,48,FALSE,FALSE,Regular,Gen 2
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,1.2,22.5,15.6,FALSE,FALSE,Regular,Gen 2
172,Pichu,Electric,NA,205,20,40,15,35,35,60,0.3,2,22.2,FALSE,FALSE,Regular,Gen 2
